biosequence_name,is_covering,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name
P23327,C,canonical,  0.958,  1.000,1,  0.086,1,19,19q13.33,49654455,49658681,-,,,P23327,2286,4,,,,SRCH_HUMAN Sarcoplasmic reticulum histidine-rich calcium-binding protein OS=Homo sapiens GN=HRC PE=2 SV=1 CONCAT=10,Homo sapiens
P10606,C,canonical,  0.958,  1.000,1,  0.366,1,2,2q11.2,98262503,98264846,+,,,P10606,2287,1,,,,"COX5B_HUMAN Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens GN=COX5B PE=1 SV=2 CONCAT=4",Homo sapiens
Q8WUM0,C,canonical,  0.958,  1.000,1,  0.048,1,1,1q42.13,229577045,229644088,-,,,Q8WUM0,2288,3,,,,NU133_HUMAN Nuclear pore complex protein Nup133 OS=Homo sapiens GN=NUP133 PE=1 SV=2 CONCAT=6,Homo sapiens
Q6QNK2,C,canonical,  0.958,  1.000,1,  0.084,1,12,12q24.33,131438452,131625792,+,,,Q6QNK2,2289,4,,,,GP133_HUMAN Probable G-protein coupled receptor 133 OS=Homo sapiens GN=GPR133 PE=2 SV=1 CONCAT=8,Homo sapiens
O00231,C,canonical,  0.958,  1.000,2,  0.217,1,17,17q11.2,30771279,30810336,+,,,O00231,2290,3,,,,PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3 CONCAT=2,Homo sapiens
Q08J23,C,canonical,  0.958,  1.000,1,  0.067,1,5,5p15.31,0,0, ,,,Q08J23,2291,3,,,,NSUN2_HUMAN tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2 PE=1 SV=2 CONCAT=3,Homo sapiens
Q9UP38,C,canonical,  0.958,  1.000,2,  0.202,1,7,7q21.13,90893783,90898123,+,,,Q9UP38,2292,1,,,,FZD1_HUMAN Frizzled-1 OS=Homo sapiens GN=FZD1 PE=1 SV=2 CONCAT=6,Homo sapiens
P49915,C,canonical,  0.958,  1.000,1,  0.077,1,3,3q25.31,155588439,155655499,+,,,P49915,2293,3,,,,GUAA_HUMAN GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens GN=GMPS PE=1 SV=1 CONCAT=2,Homo sapiens
P26368,C,canonical,  0.958,  1.000,2,  0.326,1,19,19q13.42,56166431,56185664,+,,,P26368,2294,3,,,,U2AF2_HUMAN Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4 CONCAT=2,Homo sapiens
Q9BXP5,C,canonical,  0.958,  1.000,2,  0.130,1,7,7q22,0,0, ,,,Q9BXP5,2295,6,,,,SRRT_HUMAN Serrate RNA effector molecule homolog OS=Homo sapiens GN=SRRT PE=1 SV=1 CONCAT=2,Homo sapiens
Q9C0C9,C,canonical,  0.958,  1.000,1,  0.049,1,17,17q25.1,0,0, ,,,Q9C0C9,2296,2,,,,UBE2O_HUMAN Ubiquitin-conjugating enzyme E2 O OS=Homo sapiens GN=UBE2O PE=1 SV=3 CONCAT=2,Homo sapiens
P07738,C,canonical,  0.958,  1.000,1,  0.209,1,7,7q33,134331560,134364565,+,,,P07738,2297,1,,,,PMGE_HUMAN Bisphosphoglycerate mutase OS=Homo sapiens GN=BPGM PE=1 SV=2 CONCAT=4,Homo sapiens
Q7Z4R8,C,canonical,  0.958,  1.000,2,  0.977,1,6,6q27,170102257,170106401,+,,,Q7Z4R8,2298,3,,,,CF120_HUMAN UPF0669 protein C6orf120 OS=Homo sapiens GN=C6orf120 PE=1 SV=1 CONCAT=6,Homo sapiens
Q86XP3,C,canonical,  0.958,  1.000,1,  0.064,1,17,17q23.3,61851550,61895758,+,,,Q86XP3,2299,3,,,,DDX42_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens GN=DDX42 PE=1 SV=1 CONCAT=1,Homo sapiens
O60880,C,canonical,  0.958,  1.000,1,  0.419,1,X,Xq25,123480375,123505338,+,,,O60880,2300,7,,,,SH21A_HUMAN SH2 domain-containing protein 1A OS=Homo sapiens GN=SH2D1A PE=1 SV=1 CONCAT=29,Homo sapiens
Q9UQE7,C,canonical,  0.958,  1.000,1,  0.045,1,10,10q25.2,112327449,112364394,+,,,Q9UQE7,2301,1,,,,SMC3_HUMAN Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2 CONCAT=2,Homo sapiens
Q6P1J9,C,canonical,  0.958,  1.000,1,  0.086,1,1,1q31.2,193091147,193223031,+,,,Q6P1J9,2302,2,,,,CDC73_HUMAN Parafibromin OS=Homo sapiens GN=CDC73 PE=1 SV=1 CONCAT=17,Homo sapiens
O00767,C,canonical,  0.958,  1.000,1,  0.195,1,10,10q23-q24,0,0, ,,,O00767,2303,2,,,,ACOD_HUMAN Acyl-CoA desaturase OS=Homo sapiens GN=SCD PE=1 SV=2 CONCAT=2,Homo sapiens
P15927,C,canonical,  0.958,  1.000,1,  0.244,1,1,1p35.3,28218584,28241024,-,,,P15927,2304,4,,,,RFA2_HUMAN Replication protein A 32 kDa subunit OS=Homo sapiens GN=RPA2 PE=1 SV=1 CONCAT=6,Homo sapiens
Q9NZ45,C,canonical,  0.958,  1.000,1,  0.489,1,10,10q21.1,60028818,60049346,+,,,Q9NZ45,2305,1,,,,CISD1_HUMAN CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens GN=CISD1 PE=1 SV=1 CONCAT=2,Homo sapiens
Q8WWI5,C,canonical,  0.958,  1.000,2,  0.172,1,9,9q31.1,108006903,108159627,+,,,Q8WWI5,2306,3,,,,CTL1_HUMAN Choline transporter-like protein 1 OS=Homo sapiens GN=SLC44A1 PE=1 SV=1 CONCAT=3,Homo sapiens
Q14676,C,canonical,  0.958,  1.000,1,  0.032,1,6,6p21.3,0,0, ,,,Q14676,2307,12,,,,MDC1_HUMAN Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens GN=MDC1 PE=1 SV=3 CONCAT=20,Homo sapiens
Q8N0V4,C,canonical,  0.958,  1.000,1,  0.095,1,4,4p15.2,25000469,25032501,-,,,Q8N0V4,2308,2,,,,LGI2_HUMAN Leucine-rich repeat LGI family member 2 OS=Homo sapiens GN=LGI2 PE=1 SV=1 CONCAT=8,Homo sapiens
CONTAM_sp|KRB2A_SHEEP|,C,canonical,  0.958,  1.000,1,  0.977,1,,,,,,,,CONTAM_sp|KRB2A_SHEEP|,2309,3,,,,sp|KRB2A_SHEEP|,Homo sapiens
A6BM72-2,C,canonical,  0.952,  1.000,1,  0.089,1,15,15q22.31,66187634,66546075,-,,,A6BM72-2,2310,6,,,,MEG11_HUMAN Isoform 2 of Multiple epidermal growth factor-like domains protein 11 OS=Homo sapiens GN=MEGF11,Homo sapiens
P28065,C,canonical,  0.957,  1.000,1,  0.267,1,6,6p21.32,32821938,32827362,+,,,P28065,2311,5,,,,PSB9_HUMAN Proteasome subunit beta type-9 OS=Homo sapiens GN=PSMB9 PE=1 SV=2 CONCAT=12,Homo sapiens
Q92783,C,canonical,  0.957,  1.000,2,  0.267,1,10,10p12.33,17686124,17757913,+,,,Q92783,2312,5,,,,STAM1_HUMAN Signal transducing adapter molecule 1 OS=Homo sapiens GN=STAM PE=1 SV=3 CONCAT=3,Homo sapiens
Q8IVN3,C,canonical,  0.957,  1.000,2,  1.955,1,3,3p21.1,52867139,52869235,-,,,Q8IVN3,2313,5,,,,MSTN1_HUMAN Musculoskeletal embryonic nuclear protein 1 OS=Homo sapiens GN=MUSTN1 PE=2 SV=2 CONCAT=1,Homo sapiens
O15371,C,canonical,  0.957,  1.000,1,  0.122,1,22,22q12.3,36906897,36925483,-,,,O15371,2314,6,,,,EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1 CONCAT=1,Homo sapiens
O00303,C,canonical,  0.957,  1.000,1,  0.172,1,11,11p15.4,8008867,8017716,+,,,O00303,2315,5,,,,EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1 CONCAT=5,Homo sapiens
Q9UBQ5,C,canonical,  0.957,  1.000,1,  0.244,1,19,19q13.2,39109737,39127595,+,,,Q9UBQ5,2316,6,,,,EIF3K_HUMAN Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=1 SV=1 CONCAT=2,Homo sapiens
Q9Y4K1,C,canonical,  0.957,  1.000,1,  0.035,1,6,6q21,106959730,107018326,+,,,Q9Y4K1,2317,3,,,,AIM1_HUMAN Absent in melanoma 1 protein OS=Homo sapiens GN=AIM1 PE=1 SV=3 CONCAT=8,Homo sapiens
Q9ULV4,C,canonical,  0.957,  1.000,1,  0.122,1,12,12q24.11,109038885,109125372,-,,,Q9ULV4,2318,5,,,,COR1C_HUMAN Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1 CONCAT=1,Homo sapiens
Q9BUJ2,C,canonical,  0.957,  1.000,1,  0.077,1,19,19q13.2,0,0, ,,,Q9BUJ2,2319,7,,,,HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2 CONCAT=2,Homo sapiens
Q9NYZ4,C,canonical,  0.957,  1.000,1,  0.140,1,19,19q13.41,51954251,51961708,-,,,Q9NYZ4,2320,4,,,,SIGL8_HUMAN Sialic acid-binding Ig-like lectin 8 OS=Homo sapiens GN=SIGLEC8 PE=1 SV=2 CONCAT=9,Homo sapiens
O15520,C,canonical,  0.957,  1.000,1,  0.366,1,5,5p12,44303646,44388899,-,,,O15520,2321,2,,,,FGF10_HUMAN Fibroblast growth factor 10 OS=Homo sapiens GN=FGF10 PE=1 SV=1 CONCAT=7,Homo sapiens
P27816,C,canonical,  0.957,  1.000,1,  0.044,1,3,3p21.31,47893358,48130762,-,,,P27816,2322,3,,,,MAP4_HUMAN Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3 CONCAT=11,Homo sapiens
P11310,C,canonical,  0.957,  1.000,1,  0.133,1,1,1p31.1,76190036,76229364,+,,,P11310,2323,5,,,,"ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADM PE=1 SV=1 CONCAT=25",Homo sapiens
P49354,C,canonical,  0.957,  1.000,1,  0.154,1,8,8p11.21,42911296,42940931,+,,,P49354,2324,6,,,,FNTA_HUMAN Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Homo sapiens GN=FNTA PE=1 SV=1 CONCAT=2,Homo sapiens
Q9NY61,C,canonical,  0.957,  1.000,1,  0.127,1,17,17q12,35306175,35414171,+,,,Q9NY61,2325,1,,,,AATF_HUMAN Protein AATF OS=Homo sapiens GN=AATF PE=1 SV=1 CONCAT=2,Homo sapiens
O75351,C,canonical,  0.957,  1.000,1,  0.109,1,18,18q21.33,61056423,61089696,-,,,O75351,2326,1,,,,VPS4B_HUMAN Vacuolar protein sorting-associated protein 4B OS=Homo sapiens GN=VPS4B PE=1 SV=2 CONCAT=2,Homo sapiens
Q9BQ67,C,canonical,  0.957,  1.000,1,  0.147,1,19,19q13.33,48949030,48960279,+,,,Q9BQ67,2327,3,,,,GRWD1_HUMAN Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens GN=GRWD1 PE=1 SV=1 CONCAT=2,Homo sapiens
P13073,C,canonical,  0.957,  1.000,1,  0.267,1,16,16q24.1,85833290,85840608,+,,,P13073,2328,4,,,,"COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=1 SV=1 CONCAT=7",Homo sapiens
Q9UKL0,C,canonical,  0.957,  1.000,1,  0.117,1,14,14q32.31,103059233,103196912,+,,,Q9UKL0,2329,2,,,,RCOR1_HUMAN REST corepressor 1 OS=Homo sapiens GN=RCOR1 PE=1 SV=1 CONCAT=1,Homo sapiens
P43403,C,canonical,  0.957,  1.000,1,  0.079,1,2,2q11.2,98330023,98356323,+,,,P43403,2330,3,,,,ZAP70_HUMAN Tyrosine-protein kinase ZAP-70 OS=Homo sapiens GN=ZAP70 PE=1 SV=1 CONCAT=12,Homo sapiens
Q9UBG3,C,canonical,  0.957,  1.000,1,  0.105,1,1,1q21.3,152381719,152386739,-,,,Q9UBG3,2331,1,,,,CRNN_HUMAN Cornulin OS=Homo sapiens GN=CRNN PE=1 SV=1 CONCAT=5,Homo sapiens
Q01081,C,canonical,  0.957,  1.000,1,  0.267,1,21,21q22.3,44513066,44527697,-,,,Q01081,2332,3,,,,U2AF1_HUMAN Splicing factor U2AF 35 kDa subunit OS=Homo sapiens GN=U2AF1 PE=1 SV=3 CONCAT=2,Homo sapiens
Q9UPA5,C,canonical,  0.957,  1.000,8,  0.120,3,3,3p21.31,49591922,49708978,+,,,Q9UPA5,2333,1,,,,BSN_HUMAN Protein bassoon OS=Homo sapiens GN=BSN PE=2 SV=4 CONCAT=5,Homo sapiens
Q969E1,C,canonical,  0.957,  1.000,1,  0.733,1,5,5q31.1,132208014,132210738,+,,,Q969E1,2334,2,,,,LEAP2_HUMAN Liver-expressed antimicrobial peptide 2 OS=Homo sapiens GN=LEAP2 PE=1 SV=1 CONCAT=9,Homo sapiens
Q3T906,C,canonical,  0.957,  1.000,1,  0.044,1,12,12q23.2,102139275,102224716,-,,,Q3T906,2335,1,,,,GNPTA_HUMAN N-acetylglucosamine-1-phosphotransferase subunits alpha/beta OS=Homo sapiens GN=GNPTAB PE=1 SV=1 CONCAT=23,Homo sapiens
P08574,C,canonical,  0.957,  1.000,1,  0.163,1,8,8q24.3,145149930,145152428,+,,,P08574,2336,1,,,,"CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens GN=CYC1 PE=1 SV=3 CONCAT=7",Homo sapiens
Q96EY9,C,canonical,  0.957,  1.000,1,  0.147,1,19,19p13.3,1905417,1913444,+,,,Q96EY9,2337,2,,,,ADAT3_HUMAN Probable inactive tRNA-specific adenosine deaminase-like protein 3 OS=Homo sapiens GN=ADAT3 PE=1 SV=1 CONCAT=3,Homo sapiens
Q7L1I2,C,canonical,  0.957,  1.000,1,  0.101,1,15,15q26.1,91769100,91844538,+,,,Q7L1I2,2338,1,,,,SV2B_HUMAN Synaptic vesicle glycoprotein 2B OS=Homo sapiens GN=SV2B PE=2 SV=1 CONCAT=1,Homo sapiens
Q5VX71,C,canonical,  0.957,  1.000,1,  0.172,1,1,1q41,223394161,223537401,-,,,Q5VX71,2339,6,,,,SUSD4_HUMAN Sushi domain-containing protein 4 OS=Homo sapiens GN=SUSD4 PE=2 SV=1 CONCAT=6,Homo sapiens
P46778,C,canonical,  0.957,  1.000,1,  0.419,1,13,13q12.2,27825716,27830705,+,,,P46778,2340,4,,,,RL21_HUMAN 60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2 CONCAT=6,Homo sapiens
Q7KZF4,C,canonical,  0.957,  1.000,1,  0.056,1,7,7q32.1,127292234,127732659,+,,,Q7KZF4,2341,3,,,,SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1 CONCAT=2,Homo sapiens
Q9Y6L7,C,canonical,  0.957,  1.000,1,  0.051,1,10,10q24.1,98124363,98273668,-,,,Q9Y6L7,2342,1,,,,TLL2_HUMAN Tolloid-like protein 2 OS=Homo sapiens GN=TLL2 PE=1 SV=1 CONCAT=9,Homo sapiens
P40306,C,canonical,  0.957,  1.000,1,  0.244,1,16,16q22.1,67968405,67970990,-,,,P40306,2343,1,,,,PSB10_HUMAN Proteasome subunit beta type-10 OS=Homo sapiens GN=PSMB10 PE=1 SV=1 CONCAT=5,Homo sapiens
P11387,C,canonical,  0.957,  1.000,1,  0.075,1,20,20q12-q13.1,0,0, ,,,P11387,2344,1,,,,TOP1_HUMAN DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2 CONCAT=8,Homo sapiens
Q8N5F7,C,canonical,  0.957,  1.000,1,  0.183,1,X,Xq24,119059018,119077735,-,,,Q8N5F7,2345,1,,,,NKAP_HUMAN NF-kappa-B-activating protein OS=Homo sapiens GN=NKAP PE=1 SV=1 CONCAT=2,Homo sapiens
P19623,C,canonical,  0.957,  1.000,1,  0.183,1,1,1p36.22,11114646,11120081,-,,,P19623,2346,2,,,,SPEE_HUMAN Spermidine synthase OS=Homo sapiens GN=SRM PE=1 SV=1 CONCAT=2,Homo sapiens
Q9NRS4,C,canonical,  0.957,  1.000,1,  0.140,1,11,11q23.3,117947804,117989174,+,,,Q9NRS4,2347,4,,,,TMPS4_HUMAN Transmembrane protease serine 4 OS=Homo sapiens GN=TMPRSS4 PE=2 SV=2 CONCAT=4,Homo sapiens
P06889,C,canonical,  0.957,  1.000,5,  3.665,1,,,0,0, ,,,P06889,2348,1,,,Ig,LV405_HUMAN Ig lambda chain V-IV region MOL OS=Homo sapiens PE=1 SV=1,Homo sapiens
IPI:IPI00910997.1,C,canonical,  0.957,  1.000,1,  0.267,1,,,,,,,,IPI:IPI00910997.1,2349,2,,,,TREMBL:B4DGN7 Tax_Id=9606 Gene_Symbol=PIH1D1 cDNA FLJ57486,Homo sapiens
O43897,C,canonical,  0.957,  1.000,1,  0.051,1,4,4q32.3,166794410,167025047,+,,,O43897,2350,5,,,,TLL1_HUMAN Tolloid-like protein 1 OS=Homo sapiens GN=TLL1 PE=1 SV=1 CONCAT=14,Homo sapiens
Q96EQ0,C,canonical,  0.957,  1.000,1,  0.226,1,5,5q12.3,64961755,65017957,-,,,Q96EQ0,2351,2,,,,SGTB_HUMAN Small glutamine-rich tetratricopeptide repeat-containing protein beta OS=Homo sapiens GN=SGTB PE=1 SV=1 CONCAT=1,Homo sapiens
P17301,C,canonical,  0.957,  1.000,1,  0.055,1,5,5q11.2,52285156,52390609,+,,,P17301,2352,6,,,,ITA2_HUMAN Integrin alpha-2 OS=Homo sapiens GN=ITGA2 PE=1 SV=1 CONCAT=10,Homo sapiens
O43525,C,canonical,  0.957,  1.000,1,  0.070,1,8,8q24.22,133133108,133493200,-,,,O43525,2353,2,,,,KCNQ3_HUMAN Potassium voltage-gated channel subfamily KQT member 3 OS=Homo sapiens GN=KCNQ3 PE=1 SV=2 CONCAT=6,Homo sapiens
Q9Y5R2,C,canonical,  0.957,  1.000,2,  0.183,1,20,20q11.22,33814457,33864801,+,,,Q9Y5R2,2354,2,,,,MMP24_HUMAN Matrix metalloproteinase-24 OS=Homo sapiens GN=MMP24 PE=2 SV=1 CONCAT=9,Homo sapiens
Q99988,C,canonical,  0.957,  1.000,1,  0.163,1,19,19p13.11,18496968,18499986,+,,,Q99988,2355,1,,,,GDF15_HUMAN Growth/differentiation factor 15 OS=Homo sapiens GN=GDF15 PE=1 SV=3 CONCAT=13,Homo sapiens
Q15102,C,canonical,  0.957,  1.000,1,  0.195,1,19,19q13.2,42801185,42806723,-,,,Q15102,2356,2,,,,PA1B3_HUMAN Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens GN=PAFAH1B3 PE=1 SV=1 CONCAT=3,Homo sapiens
O43583,C,canonical,  0.957,  1.000,1,  0.326,1,12,12q24.31,123237321,123255611,+,,,O43583,2357,2,,,,DENR_HUMAN Density-regulated protein OS=Homo sapiens GN=DENR PE=1 SV=2 CONCAT=2,Homo sapiens
Q8IUL8,C,canonical,  0.957,  1.000,1,  0.045,1,19,19p13.11,19649074,19657468,+,,,Q8IUL8,2358,2,,,,CILP2_HUMAN Cartilage intermediate layer protein 2 OS=Homo sapiens GN=CILP2 PE=2 SV=2 CONCAT=8,Homo sapiens
Q96JJ7,C,canonical,  0.957,  1.000,2,  0.255,1,18,18q22.1,66340925,66382535,-,,,Q96JJ7,2359,2,,,,TMX3_HUMAN Protein disulfide-isomerase TMX3 OS=Homo sapiens GN=TMX3 PE=1 SV=2 CONCAT=7,Homo sapiens
Q7Z3D4,C,canonical,  0.957,  1.000,2,  0.419,1,5,5q14.3,89811443,89825398,-,,,Q7Z3D4,2360,1,,,,LYSM3_HUMAN LysM and putative peptidoglycan-binding domain-containing protein 3 OS=Homo sapiens GN=LYSMD3 PE=1 SV=2 CONCAT=1,Homo sapiens
Q8N3F0,C,canonical,  0.957,  1.000,2,  1.173,1,7,7p14.3,30174426,30202378,+,,,Q8N3F0,2361,3,,,,MTURN_HUMAN Maturin OS=Homo sapiens GN=MTURN PE=2 SV=2 CONCAT=1,Homo sapiens
P09326,C,canonical,  0.957,  1.000,1,  0.226,1,1,1q23.3,160648536,160681641,-,,,P09326,2362,2,,,,CD48_HUMAN CD48 antigen OS=Homo sapiens GN=CD48 PE=1 SV=2 CONCAT=12,Homo sapiens
A6NCE7,C,canonical,  0.957,  1.000,2,  1.173,1,12,12q24.22,116997186,117014425,+,,,A6NCE7,2363,3,,,,MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1 CONCAT=6,Homo sapiens
O00534,C,canonical,  0.957,  1.000,2,  0.147,1,11,11q24.2,123986111,124017616,+,,,O00534,2364,6,,,,VMA5A_HUMAN von Willebrand factor A domain-containing protein 5A OS=Homo sapiens GN=VWA5A PE=2 SV=2 CONCAT=7,Homo sapiens
P62191,C,canonical,  0.957,  1.000,1,  0.109,1,14,14q32.11,90722839,90738966,+,,,P62191,2365,2,,,,PRS4_HUMAN 26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1 CONCAT=2,Homo sapiens
Q9UI08,C,canonical,  0.957,  1.000,1,  0.133,1,14,14q32.2,100531615,100610573,+,,,Q9UI08,2366,6,,,,EVL_HUMAN Ena/VASP-like protein OS=Homo sapiens GN=EVL PE=1 SV=2 CONCAT=3,Homo sapiens
Q6ZSS7,C,canonical,  0.957,  1.000,1,  0.092,1,2,2q32.2,191300621,191367041,+,,,Q6ZSS7,2367,4,,,,MFSD6_HUMAN Major facilitator superfamily domain-containing protein 6 OS=Homo sapiens GN=MFSD6 PE=1 SV=2 CONCAT=3,Homo sapiens
Q13907,C,canonical,  0.957,  1.000,1,  0.244,1,10,10p15.3,1085848,1095110,-,,,Q13907,2368,4,,,,IDI1_HUMAN Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens GN=IDI1 PE=1 SV=2 CONCAT=1,Homo sapiens
Q9UJ70,C,canonical,  0.957,  1.000,1,  0.147,1,2,2p13.3,71295752,71305695,+,,,Q9UJ70,2369,6,,,,NAGK_HUMAN N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK PE=1 SV=4 CONCAT=5,Homo sapiens
O75608,C,canonical,  0.957,  1.000,1,  0.244,1,8,8q11.23,54958938,55014577,-,,,O75608,2370,6,,,,LYPA1_HUMAN Acyl-protein thioesterase 1 OS=Homo sapiens GN=LYPLA1 PE=1 SV=1 CONCAT=2,Homo sapiens
O60504,C,canonical,  0.957,  1.000,1,  0.084,1,8,8p21.3,22409208,22433301,+,,,O60504,2371,10,,,,VINEX_HUMAN Vinexin OS=Homo sapiens GN=SORBS3 PE=1 SV=2 CONCAT=4,Homo sapiens
P53677,C,canonical,  0.957,  1.000,1,  0.133,1,8,8p11.21,42010464,42028701,+,,,P53677,2372,3,,,,AP3M2_HUMAN AP-3 complex subunit mu-2 OS=Homo sapiens GN=AP3M2 PE=1 SV=1 CONCAT=1,Homo sapiens
Q15363,C,canonical,  0.957,  1.000,1,  0.293,1,12,12q24.31,124069078,124083116,+,,,Q15363,2373,4,,,,TMED2_HUMAN Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens GN=TMED2 PE=1 SV=1 CONCAT=6,Homo sapiens
Q9P246,C,canonical,  0.957,  1.000,1,  0.089,1,4,4p15.2,26862416,27025806,+,,,Q9P246,2374,10,,,,STIM2_HUMAN Stromal interaction molecule 2 OS=Homo sapiens GN=STIM2 PE=1 SV=2 CONCAT=6,Homo sapiens
P01189,C,canonical,  0.957,  1.000,1,  0.226,1,2,2p23.3,25383854,25391440,-,,,P01189,2375,3,,,,COLI_HUMAN Pro-opiomelanocortin OS=Homo sapiens GN=POMC PE=1 SV=2 CONCAT=41,Homo sapiens
P13686,C,canonical,  0.957,  1.000,1,  0.226,1,19,19p13.2,11685475,11689800,-,,,P13686,2376,4,,,,PPA5_HUMAN Tartrate-resistant acid phosphatase type 5 OS=Homo sapiens GN=ACP5 PE=1 SV=3 CONCAT=19,Homo sapiens
Q9NY59,C,canonical,  0.957,  1.000,2,  0.183,1,16,16q22.1,68392231,68482591,-,,,Q9NY59,2377,3,,,,NSMA2_HUMAN Sphingomyelin phosphodiesterase 3 OS=Homo sapiens GN=SMPD3 PE=1 SV=1 CONCAT=1,Homo sapiens
Q13087,C,canonical,  0.957,  1.000,1,  0.092,1,16,16p13.3,333152,337215,+,,,Q13087,2378,4,,,,PDIA2_HUMAN Protein disulfide-isomerase A2 OS=Homo sapiens GN=PDIA2 PE=1 SV=2 CONCAT=13,Homo sapiens
P28300,C,canonical,  0.957,  1.000,1,  0.154,1,5,5q23.1,121398890,121413980,-,,,P28300,2379,1,,,,LYOX_HUMAN Protein-lysine 6-oxidase OS=Homo sapiens GN=LOX PE=1 SV=2 CONCAT=10,Homo sapiens
Q14914,C,canonical,  0.957,  1.000,1,  0.195,1,9,9q31.3,114325247,114361687,-,,,Q14914,2380,3,,,,PTGR1_HUMAN Prostaglandin reductase 1 OS=Homo sapiens GN=PTGR1 PE=1 SV=2 CONCAT=3,Homo sapiens
P27037,C,canonical,  0.957,  1.000,1,  0.113,1,2,2q22.3,148602086,148688393,+,,,P27037,2381,1,,,,AVR2A_HUMAN Activin receptor type-2A OS=Homo sapiens GN=ACVR2A PE=1 SV=1 CONCAT=9,Homo sapiens
Q9UL51,C,canonical,  0.957,  1.000,2,  0.150,1,19,19p13.3,589893,617159,+,,,Q9UL51,2382,1,,,,HCN2_HUMAN Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 OS=Homo sapiens GN=HCN2 PE=1 SV=3 CONCAT=2,Homo sapiens
Q08397,C,canonical,  0.957,  1.000,2,  0.209,1,15,15q24.1,74218799,74244478,+,,,Q08397,2383,2,,,,LOXL1_HUMAN Lysyl oxidase homolog 1 OS=Homo sapiens GN=LOXL1 PE=1 SV=2 CONCAT=11,Homo sapiens
P25940,C,canonical,  0.957,  1.000,2,  0.067,1,19,19p13.2,10070237,10121147,-,,,P25940,2384,1,,,,CO5A3_HUMAN Collagen alpha-3(V) chain OS=Homo sapiens GN=COL5A3 PE=1 SV=3 CONCAT=14,Homo sapiens
Q9UM21,C,canonical,  0.957,  1.000,2,  0.217,1,2,2q11.2,99235569,99343159,-,,,Q9UM21,2385,2,,,,"MGT4A_HUMAN Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A OS=Homo sapiens GN=MGAT4A PE=1 SV=1 CONCAT=3",Homo sapiens
O76095,C,canonical,  0.957,  1.000,1,  0.366,1,1,1q21.3,153946745,153950164,-,,,O76095,2386,2,,,,JTB_HUMAN Protein JTB OS=Homo sapiens GN=JTB PE=1 SV=1 CONCAT=8,Homo sapiens
Q8N128,C,canonical,  0.957,  1.000,1,  0.226,1,14,14q13.2,35515609,35552589,+,,,Q8N128,2387,4,,,,F177A_HUMAN Protein FAM177A1 OS=Homo sapiens GN=FAM177A1 PE=1 SV=1 CONCAT=1,Homo sapiens
