Accession;Protein Name;Molecular Weight;Protein Grouping Ambiguity;Flow-through Proteins;Original Proteins;Bound Proteins;Commonly identifiable proteins in normal CSF
Q92626;Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2;165 kDa;;15;8;;
Q92673;Sortilin-related receptor OS=Homo sapiens GN=SORL1 PE=1 SV=2;248 kDa;;45;43;18;Yes
Q92692;Poliovirus receptor-related protein 2 OS=Homo sapiens GN=PVRL2 PE=1 SV=1;58 kDa;;7;3;;Yes
Q92729;Receptor-type tyrosine-protein phosphatase U OS=Homo sapiens GN=PTPRU PE=1 SV=2;162 kDa;;9;3;;
Q92734;Protein TFG OS=Homo sapiens GN=TFG PE=1 SV=2;43 kDa;;2;;;
Q92743;Serine protease HTRA1 OS=Homo sapiens GN=HTRA1 PE=1 SV=1;51 kDa;TRUE;13;9;1;Yes
Q92752;Tenascin-R OS=Homo sapiens GN=TNR PE=1 SV=3;150 kDa;;29;16;2;Yes
Q92764;Cluster of Keratin, type I cuticular Ha5 OS=Homo sapiens GN=KRT35 PE=2 SV=5 (Q92764);50 kDa;TRUE;2;8;5;
Q92765;Secreted frizzled-related protein 3 OS=Homo sapiens GN=FRZB PE=1 SV=2;36 kDa;;6;10;3;
Q92820;Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2;36 kDa;;11;9;7;Yes
Q92823;Neuronal cell adhesion molecule OS=Homo sapiens GN=NRCAM PE=1 SV=3;144 kDa;;46;42;6;Yes
Q92824;Proprotein convertase subtilisin/kexin type 5 OS=Homo sapiens GN=PCSK5 PE=1 SV=4;207 kDa;;4;1;;
Q92832;Protein kinase C-binding protein NELL1 OS=Homo sapiens GN=NELL1 PE=1 SV=4;90 kDa;;9;2;;
Q92854;Semaphorin-4D OS=Homo sapiens GN=SEMA4D PE=1 SV=1;96 kDa;TRUE;8;7;0;Yes
Q92859;Neogenin OS=Homo sapiens GN=NEO1 PE=1 SV=2;160 kDa;;42;35;3;Yes
Q92876;Kallikrein-6 OS=Homo sapiens GN=KLK6 PE=1 SV=1;27 kDa;;14;16;9;Yes
Q92890;Ubiquitin fusion degradation protein 1 homolog OS=Homo sapiens GN=UFD1L PE=1 SV=3;35 kDa;;3;4;;
Q92896;Golgi apparatus protein 1 OS=Homo sapiens GN=GLG1 PE=1 SV=2;135 kDa;;30;15;;Yes
Q92911;Sodium/iodide cotransporter OS=Homo sapiens GN=SLC5A5 PE=1 SV=1;69 kDa;;8;3;3;
Q92932;Receptor-type tyrosine-protein phosphatase N2 OS=Homo sapiens GN=PTPRN2 PE=1 SV=2;111 kDa;;18;14;;Yes
Q92935;Exostosin-like 1 OS=Homo sapiens GN=EXTL1 PE=2 SV=2;75 kDa;TRUE;6;;;
Q92945;Cluster of Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4 (Q92945);73 kDa;TRUE;0;0;11;
Q92954;Proteoglycan 4 OS=Homo sapiens GN=PRG4 PE=1 SV=2;151 kDa;;18;17;1;Yes
Q92956;Tumor necrosis factor receptor superfamily member 14 OS=Homo sapiens GN=TNFRSF14 PE=1 SV=3;30 kDa;;3;1;;
Q93045;Stathmin-2 OS=Homo sapiens GN=STMN2 PE=1 SV=3;21 kDa;TRUE;3;2;1;
Q93052;Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1;66 kDa;;2;;;
Q93063;Exostosin-2 OS=Homo sapiens GN=EXT2 PE=1 SV=1;82 kDa;;16;8;;Yes
Q93070;Ecto-ADP-ribosyltransferase 4 OS=Homo sapiens GN=ART4 PE=2 SV=2;36 kDa;;2;0;;
Q93091;Ribonuclease K6 OS=Homo sapiens GN=RNASE6 PE=1 SV=2;17 kDa;TRUE;4;5;;Yes
Q969E8;Pre-rRNA-processing protein TSR2 homolog OS=Homo sapiens GN=TSR2 PE=1 SV=1;21 kDa;;2;;;
Q969H8;UPF0556 protein C19orf10 OS=Homo sapiens GN=C19orf10 PE=1 SV=1;19 kDa;;5;4;;Yes
Q969P0;Immunoglobulin superfamily member 8 OS=Homo sapiens GN=IGSF8 PE=1 SV=1;65 kDa;;14;17;8;Yes
Q969T9;WW domain-binding protein 2 OS=Homo sapiens GN=WBP2 PE=1 SV=1;28 kDa;;6;3;1;Yes
Q969Y0;NXPE family member 3 OS=Homo sapiens GN=NXPE3 PE=2 SV=1;64 kDa;;3;0;;
Q969Z4;Tumor necrosis factor receptor superfamily member 19L OS=Homo sapiens GN=RELT PE=1 SV=1;46 kDa;;1;2;;Yes
Q96A11;Galactose-3-O-sulfotransferase 3 OS=Homo sapiens GN=GAL3ST3 PE=1 SV=1;49 kDa;;3;;;
Q96AB3;Isochorismatase domain-containing protein 2, mitochondrial OS=Homo sapiens GN=ISOC2 PE=1 SV=1;22 kDa;;2;;;
Q96AP7;Endothelial cell-selective adhesion molecule OS=Homo sapiens GN=ESAM PE=1 SV=1;41 kDa;;5;3;;Yes
Q96AQ6;Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Homo sapiens GN=PBXIP1 PE=1 SV=1;81 kDa;;8;7;;
Q96B86;Cluster of Repulsive guidance molecule A OS=Homo sapiens GN=RGMA PE=1 SV=3 (Q96B86);49 kDa;TRUE;11;9;2;Yes
Q96BY9;Store-operated calcium entry-associated regulatory factor OS=Homo sapiens GN=TMEM66 PE=1 SV=1;37 kDa;;1;2;;
Q96BZ4;Phospholipase D4 OS=Homo sapiens GN=PLD4 PE=1 SV=2;56 kDa;;10;9;2;Yes
Q96C19;EF-hand domain-containing protein D2 OS=Homo sapiens GN=EFHD2 PE=1 SV=1;27 kDa;TRUE;6;;;
Q96C23;Aldose 1-epimerase OS=Homo sapiens GN=GALM PE=1 SV=1;38 kDa;;4;2;;
Q96CD2;Phosphopantothenoylcysteine decarboxylase OS=Homo sapiens GN=PPCDC PE=1 SV=2;22 kDa;;2;;;
Q96CG8;Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1;26 kDa;;6;4;;
Q96CN7;Isochorismatase domain-containing protein 1 OS=Homo sapiens GN=ISOC1 PE=1 SV=3;32 kDa;;4;;;
Q96CS7;Pleckstrin homology domain-containing family B member 2 OS=Homo sapiens GN=PLEKHB2 PE=1 SV=1;25 kDa;;4;;;
Q96CW9;Netrin-G2 OS=Homo sapiens GN=NTNG2 PE=1 SV=2;60 kDa;;4;4;;Yes
Q96CX2;Cluster of BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens GN=KCTD12 PE=1 SV=1 (Q96CX2);36 kDa;TRUE;10;3;;Yes
Q96D05;Uncharacterized protein C10orf35 OS=Homo sapiens GN=C10orf35 PE=1 SV=1;13 kDa;;2;;;
Q96D15;Reticulocalbin-3 OS=Homo sapiens GN=RCN3 PE=1 SV=1;37 kDa;;2;1;0;
Q96DB5;Regulator of microtubule dynamics protein 1 OS=Homo sapiens GN=FAM82B PE=1 SV=1;36 kDa;;5;;;
Q96DG6;Carboxymethylenebutenolidase homolog OS=Homo sapiens GN=CMBL PE=1 SV=1;28 kDa;;5;1;1;
Q96DZ1;Endoplasmic reticulum lectin 1 OS=Homo sapiens GN=ERLEC1 PE=1 SV=1;55 kDa;;3;;;
Q96EE4;Coiled-coil domain-containing protein 126 OS=Homo sapiens GN=CCDC126 PE=2 SV=2;16 kDa;TRUE;1;3;;
Q96EG1;Arylsulfatase G OS=Homo sapiens GN=ARSG PE=1 SV=1;57 kDa;;8;2;2;Yes
Q96EU7;C1GALT1-specific chaperone 1 OS=Homo sapiens GN=C1GALT1C1 PE=1 SV=1;36 kDa;;4;1;0;
Q96F85;CB1 cannabinoid receptor-interacting protein 1 OS=Homo sapiens GN=CNRIP1 PE=1 SV=1;19 kDa;;2;;0;
Q96FC7;Phytanoyl-CoA hydroxylase-interacting protein-like OS=Homo sapiens GN=PHYHIPL PE=2 SV=3;42 kDa;TRUE;2;;;
Q96FE5;Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1 OS=Homo sapiens GN=LINGO1 PE=1 SV=2;70 kDa;TRUE;14;12;;Yes
Q96FE7;Phosphoinositide-3-kinase-interacting protein 1 OS=Homo sapiens GN=PIK3IP1 PE=1 SV=2;28 kDa;;5;5;;Yes
Q96FJ2;Cluster of Dynein light chain 2, cytoplasmic OS=Homo sapiens GN=DYNLL2 PE=1 SV=1 (Q96FJ2);10 kDa;TRUE;5;7;;
Q96FL9;Polypeptide N-acetylgalactosaminyltransferase 14 OS=Homo sapiens GN=GALNT14 PE=2 SV=1;64 kDa;TRUE;2;;;
Q96FW1;Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=2;31 kDa;;3;2;1;
Q96G03;Phosphoglucomutase-2 OS=Homo sapiens GN=PGM2 PE=1 SV=4;68 kDa;;3;1;;
Q96GD0;Pyridoxal phosphate phosphatase OS=Homo sapiens GN=PDXP PE=1 SV=2;32 kDa;;8;2;;
Q96GW7;Brevican core protein OS=Homo sapiens GN=BCAN PE=1 SV=2;99 kDa;TRUE;30;29;1;Yes
Q96HC4;PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDLIM5 PE=1 SV=5;64 kDa;;3;;;
Q96HD1;Cysteine-rich with EGF-like domain protein 1 OS=Homo sapiens GN=CRELD1 PE=1 SV=3;45 kDa;;11;6;;Yes
Q96HE7;ERO1-like protein alpha OS=Homo sapiens GN=ERO1L PE=1 SV=2;54 kDa;TRUE;7;;1;
Q96HF1;Secreted frizzled-related protein 2 OS=Homo sapiens GN=SFRP2 PE=1 SV=2;33 kDa;;4;2;1;
Q96ID5;Immunoglobulin superfamily member 21 OS=Homo sapiens GN=IGSF21 PE=2 SV=1;52 kDa;;11;9;1;Yes
Q96IU4;Abhydrolase domain-containing protein 14B OS=Homo sapiens GN=ABHD14B PE=1 SV=1;22 kDa;;6;2;;Yes
Q96IY4;Carboxypeptidase B2 OS=Homo sapiens GN=CPB2 PE=1 SV=2;48 kDa;;15;11;1;Yes
Q96J42;Thioredoxin domain-containing protein 15 OS=Homo sapiens GN=TXNDC15 PE=1 SV=1;40 kDa;;4;;;
Q96J84;Kin of IRRE-like protein 1 OS=Homo sapiens GN=KIRREL PE=1 SV=2;84 kDa;;2;;;
Q96JA1;Leucine-rich repeats and immunoglobulin-like domains protein 1 OS=Homo sapiens GN=LRIG1 PE=1 SV=2;119 kDa;TRUE;13;5;0;Yes
Q96JF0;Beta-galactoside alpha-2,6-sialyltransferase 2 OS=Homo sapiens GN=ST6GAL2 PE=1 SV=2;60 kDa;;9;7;;Yes
Q96JK4;HHIP-like protein 1 OS=Homo sapiens GN=HHIPL1 PE=2 SV=2;87 kDa;TRUE;5;;;
Q96JP9;Cadherin-related family member 1 OS=Homo sapiens GN=CDHR1 PE=1 SV=2;94 kDa;;4;1;;
Q96JQ0;Protocadherin-16 OS=Homo sapiens GN=DCHS1 PE=2 SV=1;346 kDa;;13;5;;
Q96KG7;Multiple epidermal growth factor-like domains protein 10 OS=Homo sapiens GN=MEGF10 PE=1 SV=1;122 kDa;;26;27;3;Yes
Q96KN2;Beta-Ala-His dipeptidase OS=Homo sapiens GN=CNDP1 PE=1 SV=4;57 kDa;;30;27;10;Yes
Q96KP4;Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2;53 kDa;;6;3;0;
Q96KR4;Leishmanolysin-like peptidase OS=Homo sapiens GN=LMLN PE=2 SV=2;74 kDa;;3;;;
Q96LR4;Protein FAM19A4 OS=Homo sapiens GN=FAM19A4 PE=2 SV=1;16 kDa;TRUE;3;2;;
Q96MK3;Protein FAM20A OS=Homo sapiens GN=FAM20A PE=1 SV=4;61 kDa;TRUE;5;2;;
Q96MM7;Heparan-sulfate 6-O-sulfotransferase 2 OS=Homo sapiens GN=HS6ST2 PE=2 SV=2;69 kDa;TRUE;3;1;;Yes
Q96MU8;Kremen protein 1 OS=Homo sapiens GN=KREMEN1 PE=2 SV=3;52 kDa;;4;;;
Q96NI6;Leucine-rich repeat and fibronectin type-III domain-containing protein 5 OS=Homo sapiens GN=LRFN5 PE=1 SV=2;79 kDa;;7;;;Yes
Q96NY7;Chloride intracellular channel protein 6 OS=Homo sapiens GN=CLIC6 PE=2 SV=3;73 kDa;TRUE;5;;;Yes
Q96NZ9;Proline-rich acidic protein 1 OS=Homo sapiens GN=PRAP1 PE=1 SV=2;17 kDa;;4;2;;Yes
Q96P44;Collagen alpha-1(XXI) chain OS=Homo sapiens GN=COL21A1 PE=2 SV=1;99 kDa;;12;2;;Yes
Q96PB7;Noelin-3 OS=Homo sapiens GN=OLFM3 PE=1 SV=1;55 kDa;;4;1;;
Q96PD2;Discoidin, CUB and LCCL domain-containing protein 2 OS=Homo sapiens GN=DCBLD2 PE=1 SV=1;85 kDa;;8;4;0;
Q96PD5;N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens GN=PGLYRP2 PE=1 SV=1;62 kDa;;15;13;8;Yes
Q96PQ0;VPS10 domain-containing receptor SorCS2 OS=Homo sapiens GN=SORCS2 PE=1 SV=3;128 kDa;;3;;;
Q96PX8;SLIT and NTRK-like protein 1 OS=Homo sapiens GN=SLITRK1 PE=1 SV=2;78 kDa;;19;14;;Yes
Q96PZ7;CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=1 SV=2;389 kDa;TRUE;14;2;;
Q96QE2;Proton myo-inositol cotransporter OS=Homo sapiens GN=SLC2A13 PE=1 SV=3;70 kDa;;1;2;;
Q96QK1;Vacuolar protein sorting-associated protein 35 OS=Homo sapiens GN=VPS35 PE=1 SV=2;92 kDa;;2;;0;
Q96QU1;Protocadherin-15 OS=Homo sapiens GN=PCDH15 PE=1 SV=2;216 kDa;;3;0;0;
Q96QV1;Hedgehog-interacting protein OS=Homo sapiens GN=HHIP PE=1 SV=3;79 kDa;;4;1;;
Q96RP7;Galactose-3-O-sulfotransferase 4 OS=Homo sapiens GN=GAL3ST4 PE=1 SV=1;54 kDa;;5;3;2;
Q96RW7;Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2;613 kDa;;62;14;1;Yes
Q96S16;JmjC domain-containing protein 8 OS=Homo sapiens GN=JMJD8 PE=2 SV=1;37 kDa;;3;1;0;
Q96S96;Phosphatidylethanolamine-binding protein 4 OS=Homo sapiens GN=PEBP4 PE=1 SV=3;26 kDa;;10;11;7;Yes
Q96SM3;Probable carboxypeptidase X1 OS=Homo sapiens GN=CPXM1 PE=2 SV=2;82 kDa;;13;5;;
Q96SZ5;2-aminoethanethiol dioxygenase OS=Homo sapiens GN=ADO PE=1 SV=2;30 kDa;;2;;;
Q96TA2;ATP-dependent zinc metalloprotease YME1L1 OS=Homo sapiens GN=YME1L1 PE=1 SV=2;86 kDa;;3;1;;
Q96TC7;Regulator of microtubule dynamics protein 3 OS=Homo sapiens GN=FAM82A2 PE=1 SV=2;52 kDa;;8;3;1;Yes
Q99435;Protein kinase C-binding protein NELL2 OS=Homo sapiens GN=NELL2 PE=1 SV=1;91 kDa;;42;42;9;Yes
Q99436;Proteasome subunit beta type-7 OS=Homo sapiens GN=PSMB7 PE=1 SV=1;30 kDa;;3;;0;
Q99456;Keratin, type I cytoskeletal 12 OS=Homo sapiens GN=KRT12 PE=1 SV=1;54 kDa;TRUE;1;2;;
Q99460;26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2;106 kDa;;2;0;0;
Q99497;Protein DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2;20 kDa;;13;14;2;Yes
Q99519;Sialidase-1 OS=Homo sapiens GN=NEU1 PE=1 SV=1;45 kDa;;9;7;4;
Q99523;Sortilin OS=Homo sapiens GN=SORT1 PE=1 SV=3;92 kDa;;12;6;3;Yes
Q99536;Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=1 SV=2;42 kDa;TRUE;6;2;;
Q99538;Legumain OS=Homo sapiens GN=LGMN PE=1 SV=1;49 kDa;;10;7;1;Yes
Q99542;Matrix metalloproteinase-19 OS=Homo sapiens GN=MMP19 PE=1 SV=1;57 kDa;TRUE;9;1;;
Q99574;Neuroserpin OS=Homo sapiens GN=SERPINI1 PE=1 SV=1;46 kDa;;21;17;3;Yes
Q99584;Protein S100-A13 OS=Homo sapiens GN=S100A13 PE=1 SV=1;11 kDa;;3;;;
Q99650;Oncostatin-M-specific receptor subunit beta OS=Homo sapiens GN=OSMR PE=1 SV=1;111 kDa;;7;2;;Yes
Q99674;Cell growth regulator with EF hand domain protein 1 OS=Homo sapiens GN=CGREF1 PE=2 SV=2;32 kDa;;11;12;2;Yes
Q99683;Mitogen-activated protein kinase kinase kinase 5 OS=Homo sapiens GN=MAP3K5 PE=1 SV=1;155 kDa;TRUE;2;1;;
Q99714;3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3;27 kDa;;1;0;2;
Q99715;Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2;333 kDa;;66;24;2;Yes
Q99727;Metalloproteinase inhibitor 4 OS=Homo sapiens GN=TIMP4 PE=1 SV=1;26 kDa;;7;4;;Yes
Q99729;Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2;36 kDa;;5;0;6;
Q99784;Noelin OS=Homo sapiens GN=OLFM1 PE=1 SV=4;55 kDa;;12;8;1;Yes
Q99798;Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2;85 kDa;;3;1;1;
Q99816;Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=1 SV=2;44 kDa;;2;1;1;
Q99941;Cyclic AMP-dependent transcription factor ATF-6 beta OS=Homo sapiens GN=ATF6B PE=1 SV=2;77 kDa;;6;3;;
Q99946;Proline-rich transmembrane protein 1 OS=Homo sapiens GN=PRRT1 PE=2 SV=2;31 kDa;;2;1;1;Yes
Q99961;Endophilin-A2 OS=Homo sapiens GN=SH3GL1 PE=1 SV=1;41 kDa;TRUE;;1;2;
Q99969;Retinoic acid receptor responder protein 2 OS=Homo sapiens GN=RARRES2 PE=1 SV=1;19 kDa;;6;8;;Yes
Q99972;Myocilin OS=Homo sapiens GN=MYOC PE=1 SV=2;57 kDa;;14;9;;Yes
Q99983;Osteomodulin OS=Homo sapiens GN=OMD PE=1 SV=1;49 kDa;;8;8;4;Yes
Q99985;Semaphorin-3C OS=Homo sapiens GN=SEMA3C PE=1 SV=2;85 kDa;TRUE;12;9;1;Yes
Q9BPU6;Dihydropyrimidinase-related protein 5 OS=Homo sapiens GN=DPYSL5 PE=1 SV=1;61 kDa;;3;;2;
Q9BQ16;Testican-3 OS=Homo sapiens GN=SPOCK3 PE=1 SV=2;49 kDa;TRUE;15;12;1;Yes
Q9BQ51;Programmed cell death 1 ligand 2 OS=Homo sapiens GN=PDCD1LG2 PE=1 SV=2;31 kDa;;3;1;;
Q9BQR3;Serine protease 27 OS=Homo sapiens GN=PRSS27 PE=1 SV=1;32 kDa;;4;;;
Q9BQS7;Hephaestin OS=Homo sapiens GN=HEPH PE=2 SV=3;130 kDa;;11;4;;
Q9BQT9;Calsyntenin-3 OS=Homo sapiens GN=CLSTN3 PE=1 SV=1;106 kDa;;20;14;1;Yes
Q9BR76;Coronin-1B OS=Homo sapiens GN=CORO1B PE=1 SV=1;54 kDa;TRUE;3;;;
Q9BRA2;Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=1 SV=1;14 kDa;;5;4;;Yes
Q9BRF8;Calcineurin-like phosphoesterase domain-containing protein 1 OS=Homo sapiens GN=CPPED1 PE=1 SV=3;36 kDa;;6;;;
Q9BRK3;Matrix-remodeling-associated protein 8 OS=Homo sapiens GN=MXRA8 PE=1 SV=1;49 kDa;;12;8;;Yes
Q9BRK5;45 kDa calcium-binding protein OS=Homo sapiens GN=SDF4 PE=1 SV=1;42 kDa;TRUE;16;14;;Yes
Q9BRR6;ADP-dependent glucokinase OS=Homo sapiens GN=ADPGK PE=1 SV=1;54 kDa;;7;2;3;
Q9BRT3;Migration and invasion enhancer 1 OS=Homo sapiens GN=MIEN1 PE=1 SV=1;12 kDa;;2;;;
Q9BS26;Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1;47 kDa;;13;7;2;Yes
Q9BSG0;Protease-associated domain-containing protein 1 OS=Homo sapiens GN=PRADC1 PE=1 SV=1;21 kDa;;2;1;;
Q9BSG5;Retbindin OS=Homo sapiens GN=RTBDN PE=2 SV=2;25 kDa;;4;4;;
Q9BT09;Protein canopy homolog 3 OS=Homo sapiens GN=CNPY3 PE=1 SV=1;31 kDa;TRUE;3;3;1;
Q9BT88;Synaptotagmin-11 OS=Homo sapiens GN=SYT11 PE=1 SV=2;48 kDa;;3;1;;
Q9BTN0;Leucine-rich repeat and fibronectin type-III domain-containing protein 3 OS=Homo sapiens GN=LRFN3 PE=1 SV=1;66 kDa;;2;;;
Q9BTV5;Fibronectin type III and SPRY domain-containing protein 1 OS=Homo sapiens GN=FSD1 PE=1 SV=1;56 kDa;;2;0;;
Q9BTY2;Plasma alpha-L-fucosidase OS=Homo sapiens GN=FUCA2 PE=1 SV=2;54 kDa;TRUE;16;14;1;Yes
Q9BU40;Chordin-like protein 1 OS=Homo sapiens GN=CHRDL1 PE=1 SV=1;51 kDa;;17;19;4;Yes
Q9BUD6;Spondin-2 OS=Homo sapiens GN=SPON2 PE=1 SV=3;36 kDa;;9;4;;Yes
Q9BUJ0;Abhydrolase domain-containing protein 14A OS=Homo sapiens GN=ABHD14A PE=2 SV=2;30 kDa;;5;5;2;Yes
Q9BUN1;Protein MENT OS=Homo sapiens GN=MENT PE=1 SV=1;37 kDa;;3;2;4;Yes
Q9BUP0;EF-hand domain-containing protein D1 OS=Homo sapiens GN=EFHD1 PE=1 SV=1;27 kDa;TRUE;4;;;
Q9BUT1;3-hydroxybutyrate dehydrogenase type 2 OS=Homo sapiens GN=BDH2 PE=1 SV=2;27 kDa;;2;;;
Q9BV57;1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Homo sapiens GN=ADI1 PE=1 SV=1;21 kDa;;2;;;
Q9BVH7;Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 OS=Homo sapiens GN=ST6GALNAC5 PE=2 SV=1;38 kDa;;5;2;;
Q9BVK6;Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2;27 kDa;TRUE;2;2;;
Q9BW91;ADP-ribose pyrophosphatase, mitochondrial OS=Homo sapiens GN=NUDT9 PE=1 SV=1;39 kDa;;2;;;
Q9BWD1;Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens GN=ACAT2 PE=1 SV=2;41 kDa;;6;;;
Q9BWP8;Collectin-11 OS=Homo sapiens GN=COLEC11 PE=1 SV=1;29 kDa;;6;1;;
Q9BWQ8;Protein lifeguard 2 OS=Homo sapiens GN=FAIM2 PE=1 SV=1;35 kDa;;2;3;;Yes
Q9BWS9;Chitinase domain-containing protein 1 OS=Homo sapiens GN=CHID1 PE=1 SV=1;45 kDa;;7;5;;Yes
Q9BWV1;Brother of CDO OS=Homo sapiens GN=BOC PE=1 SV=1;121 kDa;;12;2;0;Yes
Q9BX67;Junctional adhesion molecule C OS=Homo sapiens GN=JAM3 PE=1 SV=1;35 kDa;;6;3;;
Q9BXJ0;Complement C1q tumor necrosis factor-related protein 5 OS=Homo sapiens GN=C1QTNF5 PE=1 SV=1;25 kDa;;5;6;1;Yes
Q9BXJ1;Complement C1q tumor necrosis factor-related protein 1 OS=Homo sapiens GN=C1QTNF1 PE=1 SV=1;32 kDa;;;1;3;Yes
Q9BXJ2;Complement C1q tumor necrosis factor-related protein 7 OS=Homo sapiens GN=C1QTNF7 PE=1 SV=1;31 kDa;;2;1;;
Q9BXJ3;Complement C1q tumor necrosis factor-related protein 4 OS=Homo sapiens GN=C1QTNF4 PE=1 SV=2;35 kDa;;7;8;1;Yes
Q9BXJ4;Complement C1q tumor necrosis factor-related protein 3 OS=Homo sapiens GN=C1QTNF3 PE=2 SV=1;27 kDa;;4;5;1;Yes
Q9BXK5;Bcl-2-like protein 13 OS=Homo sapiens GN=BCL2L13 PE=1 SV=1;53 kDa;;3;;;
Q9BXN1;Asporin OS=Homo sapiens GN=ASPN PE=1 SV=2;43 kDa;;7;2;;
Q9BXP8;Pappalysin-2 OS=Homo sapiens GN=PAPPA2 PE=1 SV=4;199 kDa;;23;12;1;Yes
Q9BXR6;Complement factor H-related protein 5 OS=Homo sapiens GN=CFHR5 PE=1 SV=1;64 kDa;TRUE;11;3;1;
Q9BXS4;Transmembrane protein 59 OS=Homo sapiens GN=TMEM59 PE=1 SV=1;36 kDa;;3;2;0;
Q9BXX0;EMILIN-2 OS=Homo sapiens GN=EMILIN2 PE=1 SV=3;116 kDa;;7;4;;Yes
Q9BY67;Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1 PE=1 SV=2;49 kDa;;9;9;1;Yes
Q9BY76;Angiopoietin-related protein 4 OS=Homo sapiens GN=ANGPTL4 PE=1 SV=2;45 kDa;;5;3;;
Q9BY79;Membrane frizzled-related protein OS=Homo sapiens GN=MFRP PE=1 SV=1;62 kDa;;6;4;;
Q9BYC5;Alpha-(1,6)-fucosyltransferase OS=Homo sapiens GN=FUT8 PE=1 SV=2;67 kDa;;5;5;;
Q9BYH1;Seizure 6-like protein OS=Homo sapiens GN=SEZ6L PE=1 SV=1;112 kDa;TRUE;16;13;1;Yes
Q9BYJ0;Fibroblast growth factor-binding protein 2 OS=Homo sapiens GN=FGFBP2 PE=1 SV=1;25 kDa;;3;2;;
Q9BYT8;Neurolysin, mitochondrial OS=Homo sapiens GN=NLN PE=1 SV=1;81 kDa;;3;;;
Q9BZ76;Cluster of Contactin-associated protein-like 3 OS=Homo sapiens GN=CNTNAP3 PE=2 SV=3 (Q9BZ76);141 kDa;TRUE;15;4;;
Q9BZA8;Protocadherin-11 Y-linked OS=Homo sapiens GN=PCDH11Y PE=1 SV=1;147 kDa;;3;;;
Q9BZC7;ATP-binding cassette sub-family A member 2 OS=Homo sapiens GN=ABCA2 PE=1 SV=3;270 kDa;TRUE;8;4;0;Yes
Q9BZG9;Ly-6/neurotoxin-like protein 1 OS=Homo sapiens GN=LYNX1 PE=1 SV=3;14 kDa;;1;2;;Yes
Q9BZM5;Cluster of NKG2D ligand 2 OS=Homo sapiens GN=ULBP2 PE=1 SV=1 (Q9BZM5);27 kDa;TRUE;6;4;;Yes
Q9BZR6;Reticulon-4 receptor OS=Homo sapiens GN=RTN4R PE=1 SV=1;51 kDa;TRUE;12;13;7;Yes
Q9C0A0;Contactin-associated protein-like 4 OS=Homo sapiens GN=CNTNAP4 PE=1 SV=3;145 kDa;TRUE;33;29;;
Q9C0B6;Protein FAM5B OS=Homo sapiens GN=FAM5B PE=2 SV=2;89 kDa;TRUE;5;1;;
Q9C0C4;Semaphorin-4C OS=Homo sapiens GN=SEMA4C PE=1 SV=2;93 kDa;TRUE;9;6;;
Q9GZM5;Protein YIPF3 OS=Homo sapiens GN=YIPF3 PE=1 SV=1;38 kDa;;2;1;;
Q9GZM7;Tubulointerstitial nephritis antigen-like OS=Homo sapiens GN=TINAGL1 PE=1 SV=1;52 kDa;;6;4;;
Q9GZP0;Platelet-derived growth factor D OS=Homo sapiens GN=PDGFD PE=1 SV=1;43 kDa;;6;4;1;
Q9GZP4;PITH domain-containing protein 1 OS=Homo sapiens GN=PITHD1 PE=1 SV=1;24 kDa;;7;5;;Yes
