"CSF-PR / CSF GEL DEPLETED FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
13344.00,"SINGLE PROTEIN","Q8NEX6",""," Protein WFDC11 (WFD11_HUMAN)","20","WFDC11",0.00,"false",0.00,0.00,0.00,3066.00,10.33,0.00,,,,,"false"
13345.00,"SINGLE PROTEIN","A4QPH2",""," Putative phosphatidylinositol 4-kinase alpha-like protein P2 (PI4P2_HUMAN)","22","PI4KAP2",0.00,"false",0.00,0.00,0.00,3066.00,66.94,0.00,,,,,"false"
13346.00,"SINGLE PROTEIN","Q6ZUL3",""," Uncharacterized protein C8orf86 (CH086_HUMAN)","8","C8ORF86",0.00,"false",0.00,0.00,0.00,3066.00,24.72,0.00,,,,,"false"
13347.00,"SINGLE PROTEIN","Q969J3",""," Loss of heterozygosity 12 chromosomal region 1 protein (L12R1_HUMAN)","12","LOH12CR1",0.00,"false",0.00,0.00,0.00,3066.00,22.21,0.00,,,,,"false"
13348.00,"SINGLE PROTEIN","Q969J5",""," Interleukin-22 receptor subunit alpha-2 (I22R2_HUMAN)","6","IL22RA2",0.00,"false",0.00,0.00,0.00,3066.00,30.53,0.00,,,,,"false"
13349.00,"SINGLE PROTEIN","Q969J2",""," Zinc finger protein with KRAB and SCAN domains 4 (ZKSC4_HUMAN)","6","ZKSCAN4",0.00,"false",0.00,0.00,0.00,3066.00,61.54,0.00,,,,,"false"
13350.00,"SINGLE PROTEIN","Q08426",""," Peroxisomal bifunctional enzyme (ECHP_HUMAN)","3","EHHADH",0.00,"false",0.00,0.00,0.00,3066.00,79.44,0.00,,,,,"false"
13351.00,"SINGLE PROTEIN","Q6IC83",""," Uncharacterized protein C22orf42 (CV042_HUMAN)","22","C22ORF42",0.00,"false",0.00,0.00,0.00,3066.00,27.67,0.00,,,,,"false"
13352.00,"SINGLE PROTEIN","Q8IXK0",""," Polyhomeotic-like protein 2 (PHC2_HUMAN)","1","PHC2",0.00,"false",0.00,0.00,0.00,3066.00,90.66,0.00,,,,,"false"
13353.00,"SINGLE PROTEIN","Q8NEW7",""," Transmembrane inner ear expressed protein (TMIE_HUMAN)","3","TMIE",0.00,"false",0.00,0.00,0.00,3066.00,17.23,0.00,,,,,"false"
13354.00,"SINGLE PROTEIN","Q8IXK2",""," Polypeptide N-acetylgalactosaminyltransferase 12 (GLT12_HUMAN)","9","GALNT12",0.00,"false",0.00,0.00,0.00,3066.00,66.90,0.00,,,,,"false"
13355.00,"SINGLE PROTEIN","Q8NF86",""," Serine protease 33 (PRS33_HUMAN)","16","PRSS33",0.00,"false",0.00,0.00,0.00,3066.00,29.77,0.00,,,,,"false"
13356.00,"RELATED PROTEINS","Q9H7R0","Q9Y2A4"," Zinc finger protein 442 (ZN442_HUMAN)","19","ZNF442",0.00,"false",0.00,0.00,0.00,3066.00,72.82,0.00,,,,,"false"
13357.00,"SINGLE PROTEIN","Q6IC98",""," GRAM domain-containing protein 4 (GRAM4_HUMAN)","22","GRAMD4",0.00,"false",0.00,0.00,0.00,3066.00,66.37,0.00,,,,,"false"
13358.00,"RELATED PROTEINS","Q3L8U1","Q9P2D1"," Chromodomain-helicase-DNA-binding protein 9 (CHD9_HUMAN)","16","CHD9",0.00,"false",0.00,0.00,0.00,3066.00,325.82,0.00,,,,,"false"
13359.00,"UNRELATED PROTEINS","Q9H7X0","Q9P270"," N-alpha-acetyltransferase 60 (NAA60_HUMAN)","16","NAA60",0.00,"false",0.00,0.00,0.00,3066.00,27.43,0.00,,,,,"false"
13360.00,"SINGLE PROTEIN","C9JQI7",""," Transmembrane protein 232 (TM232_HUMAN)","5","TMEM232",0.00,"false",0.00,0.00,0.00,3066.00,76.40,0.00,,,,,"false"
13361.00,"SINGLE PROTEIN","Q8NF67",""," Putative ankyrin repeat domain-containing protein 20A12 pseudogene (A2012_HUMAN)","","",0.00,"false",0.00,0.00,0.00,3066.00,31.15,0.00,,,,,"false"
13362.00,"SINGLE PROTEIN","Q8NEU8",""," DCC-interacting protein 13-beta (DP13B_HUMAN)","12","APPL2",0.00,"false",0.00,0.00,0.00,3066.00,74.45,0.00,,,,,"false"
13363.00,"SINGLE PROTEIN","Q6ZUJ8",""," Phosphoinositide 3-kinase adapter protein 1 (BCAP_HUMAN)","10","PIK3AP1",0.00,"false",0.00,0.00,0.00,3066.00,90.34,0.00,,,,,"false"
13364.00,"SINGLE PROTEIN","O15304",""," Apoptosis regulatory protein Siva (SIVA_HUMAN)","14","SIVA1",0.00,"false",0.00,0.00,0.00,3066.00,18.68,0.00,,,,,"false"
13365.00,"SINGLE PROTEIN","O15305",""," Phosphomannomutase 2 (PMM2_HUMAN)","16","PMM2",0.00,"false",0.00,0.00,0.00,3066.00,28.06,0.00,,,,,"false"
13366.00,"SINGLE PROTEIN","Q969P6",""," DNA topoisomerase I, mitochondrial (TOP1M_HUMAN)","8","TOP1MT",0.00,"false",0.00,0.00,0.00,3066.00,69.83,0.00,,,,,"false"
13367.00,"SINGLE PROTEIN","Q969P5",""," F-box only protein 32 (FBX32_HUMAN)","8","FBXO32",0.00,"false",0.00,0.00,0.00,3066.00,41.61,0.00,,,,,"false"
13368.00,"SINGLE PROTEIN","Q8IY22",""," C-Maf-inducing protein (CMIP_HUMAN)","16","CMIP",0.00,"false",0.00,0.00,0.00,3066.00,86.28,0.00,,,,,"false"
13369.00,"SINGLE PROTEIN","Q8IXQ3",""," Uncharacterized protein C9orf40 (CI040_HUMAN)","9","C9ORF40",0.00,"false",0.00,0.00,0.00,3066.00,21.05,0.00,,,,,"false"
13370.00,"SINGLE PROTEIN","Q8IXQ4",""," GPALPP motifs-containing protein 1 (GPAM1_HUMAN)","13","KIAA1704",0.00,"false",0.00,0.00,0.00,3066.00,38.12,0.00,,,,,"false"
13371.00,"SINGLE PROTEIN","Q8IY26",""," Presqualene diphosphate phosphatase (PPAC2_HUMAN)","9","PPAPDC2",0.00,"false",0.00,0.00,0.00,3066.00,32.17,0.00,,,,,"false"
13372.00,"RELATED PROTEINS","P11908","P21108"," Ribose-phosphate pyrophosphokinase 2 (PRPS2_HUMAN)","X","PRPS2",0.00,"false",0.00,0.00,0.00,3066.00,34.75,0.00,,,,,"false"
13373.00,"SINGLE PROTEIN","P84103",""," Serine/arginine-rich splicing factor 3 (SRSF3_HUMAN)","6","SRSF3",0.00,"false",0.00,0.00,0.00,3066.00,19.32,0.00,,,,,"false"
13374.00,"UNRELATED PROTEINS","A6NCX1","Q9H0H9","Uncharacterized protein C2orf14-like 1 (CB141_HUMAN)","","",0.00,"false",0.00,0.00,0.00,3066.00,12.38,0.00,,,,,"false"
13375.00,"SINGLE PROTEIN","Q8IY18",""," Structural maintenance of chromosomes protein 5 (SMC5_HUMAN)","9","SMC5",0.00,"false",0.00,0.00,0.00,3066.00,128.73,0.00,,,,,"false"
13376.00,"RELATED PROTEINS","Q96LA9","Q96LB0,Q96LB2"," Mas-related G-protein coupled receptor member X4 (MRGX4_HUMAN)","11","MRGPRX4",0.00,"false",0.00,0.00,0.00,3066.00,36.44,0.00,,,,,"false"
13377.00,"SINGLE PROTEIN","Q70UQ0",""," Inhibitor of nuclear factor kappa-B kinase-interacting protein (IKIP_HUMAN)","12","IKBIP",0.00,"false",0.00,0.00,0.00,3066.00,39.28,0.00,,,,,"false"
13378.00,"SINGLE PROTEIN","A4QPB2",""," Low-density lipoprotein receptor-related protein 5-like protein (LRP5L_HUMAN)","22","LRP5L",0.00,"false",0.00,0.00,0.00,3066.00,28.47,0.00,,,,,"false"
13379.00,"SINGLE PROTEIN","P60153",""," Inactive ribonuclease-like protein 9 (RNAS9_HUMAN)","14","RNASE9",0.00,"false",0.00,0.00,0.00,3066.00,24.29,0.00,,,,,"false"
13380.00,"SINGLE PROTEIN","Q969N2",""," GPI transamidase component PIG-T (PIGT_HUMAN)","20","PIGT",0.00,"false",0.00,0.00,0.00,3066.00,65.66,0.00,,,,,"false"
13381.00,"SINGLE PROTEIN","Q6ZUM4",""," Rho GTPase-activating protein 27 (RHG27_HUMAN)","17","ARHGAP27",0.00,"false",0.00,0.00,0.00,3066.00,98.34,0.00,,,,,"false"
13382.00,"SINGLE PROTEIN","Q969M7",""," NEDD8-conjugating enzyme UBE2F (UBE2F_HUMAN)","2","UBE2F",0.00,"false",0.00,0.00,0.00,3066.00,21.06,0.00,,,,,"false"
13383.00,"SINGLE PROTEIN","Q8NEZ2",""," Vacuolar protein sorting-associated protein 37A (VP37A_HUMAN)","8","VPS37A",0.00,"false",0.00,0.00,0.00,3066.00,44.29,0.00,,,,,"false"
13384.00,"SINGLE PROTEIN","Q969M2",""," Gap junction alpha-10 protein (CXA10_HUMAN)","6","GJA10",0.00,"false",0.00,0.00,0.00,3066.00,61.83,0.00,,,,,"false"
13385.00,"SINGLE PROTEIN","Q5TID7",""," Coiled-coil domain-containing protein 181 (CC181_HUMAN)","1","C1ORF114",0.00,"false",0.00,0.00,0.00,3066.00,60.07,0.00,,,,,"false"
13386.00,"SINGLE PROTEIN","Q8NEZ5",""," F-box only protein 22 (FBX22_HUMAN)","15","FBXO22",0.00,"false",0.00,0.00,0.00,3066.00,44.48,0.00,,,,,"false"
13387.00,"UNRELATED PROTEINS","Q8TCX1","Q8TE76"," Cytoplasmic dynein 2 light intermediate chain 1 (DC2L1_HUMAN)","2","DYNC2LI1",0.00,"false",0.00,0.00,0.00,3066.00,39.60,0.00,,,,,"false"
13388.00,"SINGLE PROTEIN","Q8IXN7",""," N-acetylaspartylglutamate synthase A (RIMKA_HUMAN)","1","RIMKLA",0.00,"false",0.00,0.00,0.00,3066.00,42.84,0.00,,,,,"false"
13389.00,"SINGLE PROTEIN","Q8IXM7",""," Outer dense fiber protein 3-like protein 1 (OD3L1_HUMAN)","15","ODF3L1",0.00,"false",0.00,0.00,0.00,3066.00,31.04,0.00,,,,,"false"
13390.00,"SINGLE PROTEIN","Q969M1",""," Mitochondrial import receptor subunit TOM40B (TM40L_HUMAN)","1","TOMM40L",0.00,"false",0.00,0.00,0.00,3066.00,33.90,0.00,,,,,"false"
13391.00,"RELATED PROTEINS","A3KN83","Q9Y2G9"," Protein strawberry notch homolog 1 (SBNO1_HUMAN)","12","SBNO1",0.00,"false",0.00,0.00,0.00,3066.00,154.22,0.00,,,,,"false"
13392.00,"SINGLE PROTEIN","Q693B1",""," BTB/POZ domain-containing protein KCTD11 (KCD11_HUMAN)","17","KCTD11",0.00,"false",0.00,0.00,0.00,3066.00,25.87,0.00,,,,,"false"
13393.00,"UNRELATED PROTEINS","P14598","A6NI72"," Neutrophil cytosol factor 1 (NCF1_HUMAN)","7","NCF1",0.00,"false",0.00,0.00,0.00,3066.00,44.62,0.00,,,,,"false"
13394.00,"SINGLE PROTEIN","P11169",""," Solute carrier family 2, facilitated glucose transporter member 3 (GTR3_HUMAN)","12","SLC2A3",0.00,"false",0.00,0.00,0.00,3066.00,53.89,0.00,,,,,"false"
13395.00,"SINGLE PROTEIN","P11166",""," Solute carrier family 2, facilitated glucose transporter member 1 (GTR1_HUMAN)","1","SLC2A1",0.00,"false",0.00,0.00,0.00,3066.00,54.05,0.00,,,,,"false"
13396.00,"SINGLE PROTEIN","P11168",""," Solute carrier family 2, facilitated glucose transporter member 2 (GTR2_HUMAN)","3","SLC2A2",0.00,"false",0.00,0.00,0.00,3066.00,57.45,0.00,,,,,"false"
13397.00,"SINGLE PROTEIN","Q8NEP4",""," Uncharacterized protein C17orf47 (CQ047_HUMAN)","17","C17ORF47",0.00,"false",0.00,0.00,0.00,3066.00,63.07,0.00,,,,,"false"
13398.00,"SINGLE PROTEIN","P11172",""," Uridine 5'-monophosphate synthase (UMPS_HUMAN)","3","UMPS",0.00,"false",0.00,0.00,0.00,3066.00,52.19,0.00,,,,,"false"
13399.00,"UNRELATED PROTEINS","Q8NEG7","Q9UHB6"," Protein DENND6B (DEN6B_HUMAN)","","DENND6B",0.00,"false",0.00,0.00,0.00,3066.00,66.42,0.00,,,,,"false"
13400.00,"SINGLE PROTEIN","P62750",""," 60S ribosomal protein L23a (RL23A_HUMAN)","17","RPL23A",0.00,"false",0.00,0.00,0.00,3066.00,17.68,0.00,,,,,"false"
13401.00,"SINGLE PROTEIN","Q8NEP7",""," Kelch domain-containing protein 9 (KLDC9_HUMAN)","1","KLHDC9",0.00,"false",0.00,0.00,0.00,3066.00,37.73,0.00,,,,,"false"
13402.00,"SINGLE PROTEIN","P61421",""," V-type proton ATPase subunit d 1 (VA0D1_HUMAN)","16","ATP6V0D1",0.00,"false",0.00,0.00,0.00,3066.00,40.30,0.00,,,,,"false"
13403.00,"SINGLE PROTEIN","P62753",""," 40S ribosomal protein S6 (RS6_HUMAN)","9","RPS6",0.00,"false",0.00,0.00,0.00,3066.00,28.66,0.00,,,,,"false"
13404.00,"SINGLE PROTEIN","P48448",""," Aldehyde dehydrogenase family 3 member B2 (AL3B2_HUMAN)","11","ALDH3B2",0.00,"false",0.00,0.00,0.00,3066.00,42.61,0.00,,,,,"false"
13405.00,"SINGLE PROTEIN","P49770",""," Translation initiation factor eIF-2B subunit beta (EI2BB_HUMAN)","14","EIF2B2",0.00,"false",0.00,0.00,0.00,3066.00,38.96,0.00,,,,,"false"
13406.00,"RELATED PROTEINS","Q6NUM6","Q9NV66"," S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (TYW1B_HUMAN)","7","TYW1B",0.00,"false",0.00,0.00,0.00,3066.00,76.90,0.00,,,,,"false"
13407.00,"RELATED PROTEINS","Q5T751","Q5T752,Q5T753,Q5T754,Q5T7P2,Q5T7P3"," Late cornified envelope protein 1C (LCE1C_HUMAN)","1","LCE1C",0.00,"false",0.00,0.00,0.00,3066.00,11.53,0.00,,,,,"false"
13408.00,"SINGLE PROTEIN","P11177",""," Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (ODPB_HUMAN)","3","PDHB",0.00,"false",0.00,0.00,0.00,3066.00,39.21,0.00,,,,,"false"
13409.00,"SINGLE PROTEIN","Q2T9L4",""," UPF0583 protein C15orf59 (CO059_HUMAN)","15","C15ORF59",0.00,"false",0.00,0.00,0.00,3066.00,31.91,0.00,,,,,"false"
13410.00,"SINGLE PROTEIN","Q93097",""," Protein Wnt-2b (WNT2B_HUMAN)","1","WNT2B",0.00,"false",0.00,0.00,0.00,3066.00,43.74,0.00,,,,,"false"
13411.00,"SINGLE PROTEIN","P62760",""," Visinin-like protein 1 (VISL1_HUMAN)","2","VSNL1",0.00,"false",0.00,0.00,0.00,3066.00,22.13,0.00,,,,,"false"
13412.00,"SINGLE PROTEIN","Q93096",""," Protein tyrosine phosphatase type IVA 1 (TP4A1_HUMAN)","6","PTP4A1",0.00,"false",0.00,0.00,0.00,3066.00,19.80,0.00,,,,,"false"
13413.00,"SINGLE PROTEIN","P11182",""," Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (ODB2_HUMAN)","1","DBT",0.00,"false",0.00,0.00,0.00,3066.00,53.45,0.00,,,,,"false"
13414.00,"SINGLE PROTEIN","Q93099",""," Homogentisate 1,2-dioxygenase (HGD_HUMAN)","3","HGD",0.00,"false",0.00,0.00,0.00,3066.00,49.93,0.00,,,,,"false"
13415.00,"SINGLE PROTEIN","Q93098",""," Protein Wnt-8b (WNT8B_HUMAN)","10","WNT8B",0.00,"false",0.00,0.00,0.00,3066.00,38.70,0.00,,,,,"false"
13416.00,"SINGLE PROTEIN","P49765",""," Vascular endothelial growth factor B (VEGFB_HUMAN)","11","VEGFB",0.00,"false",0.00,0.00,0.00,3066.00,21.59,0.00,,,,,"false"
13417.00,"SINGLE PROTEIN","P49768",""," Presenilin-1 (PSN1_HUMAN)","14","PSEN1",0.00,"false",0.00,0.00,0.00,3066.00,52.63,0.00,,,,,"false"
13418.00,"SINGLE PROTEIN","P25791",""," Rhombotin-2 (RBTN2_HUMAN)","11","LMO2",0.00,"false",0.00,0.00,0.00,3066.00,18.35,0.00,,,,,"false"
13419.00,"SINGLE PROTEIN","P24462",""," Cytochrome P450 3A7 (CP3A7_HUMAN)","7","CYP3A7",0.00,"false",0.00,0.00,0.00,3066.00,57.49,0.00,,,,,"false"
13420.00,"SINGLE PROTEIN","P49763",""," Placenta growth factor (PLGF_HUMAN)","14","PGF",0.00,"false",0.00,0.00,0.00,3066.00,24.77,0.00,,,,,"false"
13421.00,"SINGLE PROTEIN","P48431",""," Transcription factor SOX-2 (SOX2_HUMAN)","3","SOX2",0.00,"false",0.00,0.00,0.00,3066.00,34.29,0.00,,,,,"false"
13422.00,"SINGLE PROTEIN","P49760",""," Dual specificity protein kinase CLK2 (CLK2_HUMAN)","1","CLK2",0.00,"false",0.00,0.00,0.00,3066.00,60.05,0.00,,,,,"false"
13423.00,"SINGLE PROTEIN","Q93086",""," P2X purinoceptor 5 (P2RX5_HUMAN)","17","P2RX5",0.00,"false",0.00,0.00,0.00,3066.00,47.17,0.00,,,,,"false"
13424.00,"SINGLE PROTEIN","P11150",""," Hepatic triacylglycerol lipase (LIPC_HUMAN)","15","LIPC",0.00,"false",0.00,0.00,0.00,3066.00,55.88,0.00,,,,,"false"
13425.00,"SINGLE PROTEIN","Q93084",""," Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 (AT2A3_HUMAN)","17","ATP2A3",0.00,"false",0.00,0.00,0.00,3066.00,113.90,0.00,,,,,"false"
13426.00,"SINGLE PROTEIN","Q93088",""," Betaine--homocysteine S-methyltransferase 1 (BHMT1_HUMAN)","5","BHMT",0.00,"false",0.00,0.00,0.00,3066.00,44.97,0.00,,,,,"false"
13427.00,"SINGLE PROTEIN","P49756",""," RNA-binding protein 25 (RBM25_HUMAN)","14","RBM25",0.00,"false",0.00,0.00,0.00,3066.00,100.12,0.00,,,,,"false"
13428.00,"SINGLE PROTEIN","P49755",""," Transmembrane emp24 domain-containing protein 10 (TMEDA_HUMAN)","14","TMED10",0.00,"false",0.00,0.00,0.00,3066.00,24.96,0.00,,,,,"false"
13429.00,"SINGLE PROTEIN","P49753",""," Acyl-coenzyme A thioesterase 2, mitochondrial (ACOT2_HUMAN)","14","ACOT2",0.00,"false",0.00,0.00,0.00,3066.00,53.18,0.00,,,,,"false"
13430.00,"SINGLE PROTEIN","Q8NEN9",""," PDZ domain-containing protein 8 (PDZD8_HUMAN)","10","PDZD8",0.00,"false",0.00,0.00,0.00,3066.00,128.48,0.00,,,,,"false"
13431.00,"SINGLE PROTEIN","P49759",""," Dual specificity protein kinase CLK1 (CLK1_HUMAN)","2","CLK1",0.00,"false",0.00,0.00,0.00,3066.00,57.25,0.00,,,,,"false"
13432.00,"SINGLE PROTEIN","P48426",""," Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (PI42A_HUMAN)","10","PIP4K2A",0.00,"false",0.00,0.00,0.00,3066.00,46.20,0.00,,,,,"false"
13433.00,"SINGLE PROTEIN","P25786",""," Proteasome subunit alpha type-1 (PSA1_HUMAN)","11","PSMA1",0.00,"false",0.00,0.00,0.00,3066.00,29.54,0.00,,,,,"false"
13434.00,"SINGLE PROTEIN","P49757",""," Protein numb homolog (NUMB_HUMAN)","14","NUMB",0.00,"false",0.00,0.00,0.00,3066.00,70.76,0.00,,,,,"false"
13435.00,"SINGLE PROTEIN","Q08495",""," Dematin (DEMA_HUMAN)","8","EPB49",0.00,"false",0.00,0.00,0.00,3066.00,45.49,0.00,,,,,"false"
13436.00,"SINGLE PROTEIN","P23141",""," Liver carboxylesterase 1 (EST1_HUMAN)","16","CES1",0.00,"false",0.00,0.00,0.00,3066.00,62.48,0.00,,,,,"false"
13437.00,"UNRELATED PROTEINS","A6NNB3","Q13443"," Interferon-induced transmembrane protein 5 (IFM5_HUMAN)","11","IFITM5",0.00,"false",0.00,0.00,0.00,3066.00,14.37,0.00,,,,,"false"
13438.00,"SINGLE PROTEIN","Q6P6C2",""," RNA demethylase ALKBH5 (ALKB5_HUMAN)","17","ALKBH5",0.00,"false",0.00,0.00,0.00,3066.00,44.23,0.00,,,,,"false"
13439.00,"SINGLE PROTEIN","Q8NEM1",""," Zinc finger protein 680 (ZN680_HUMAN)","7","ZNF680",0.00,"false",0.00,0.00,0.00,3066.00,61.76,0.00,,,,,"false"
13440.00,"RELATED PROTEINS","Q5VV16","Q6VB85,Q8WXT5"," Forkhead box protein D4-like 5 (FX4L5_HUMAN)","9","FOXD4L5",0.00,"false",0.00,1.00,0.00,2381.00,45.75,0.00,,,,,"false"
13441.00,"SINGLE PROTEIN","Q8IXA5",""," Sperm acrosome membrane-associated protein 3 (SACA3_HUMAN)","17","SPACA3",0.00,"false",0.00,0.00,0.00,3066.00,23.42,0.00,,,,,"false"
13442.00,"SINGLE PROTEIN","Q8NEM8",""," Cytosolic carboxypeptidase 3 (CBPC3_HUMAN)","7","AGBL3",0.00,"false",0.00,0.00,0.00,3066.00,115.94,0.00,,,,,"false"
13443.00,"SINGLE PROTEIN","P49748",""," Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (ACADV_HUMAN)","17","ACADVL",0.00,"false",0.00,0.00,0.00,3066.00,70.35,0.00,,,,,"false"
13444.00,"SINGLE PROTEIN","A1L1A6",""," Immunoglobulin superfamily member 23 (IGS23_HUMAN)","19","IGSF23",0.00,"false",0.00,0.00,0.00,3066.00,20.58,0.00,,,,,"false"
13445.00,"SINGLE PROTEIN","Q969H6",""," Ribonuclease P/MRP protein subunit POP5 (POP5_HUMAN)","12","POP5",0.00,"false",0.00,0.00,0.00,3066.00,18.81,0.00,,,,,"false"
13446.00,"SINGLE PROTEIN","Q8NF64",""," Zinc finger MIZ domain-containing protein 2 (ZMIZ2_HUMAN)","7","ZMIZ2",0.00,"false",0.00,0.00,0.00,3066.00,96.48,0.00,,,,,"false"
13447.00,"SINGLE PROTEIN","Q8IXI2",""," Mitochondrial Rho GTPase 1 (MIRO1_HUMAN)","17","RHOT1",0.00,"false",0.00,0.00,0.00,3066.00,70.74,0.00,,,,,"false"
13448.00,"SINGLE PROTEIN","Q8NET6",""," Carbohydrate sulfotransferase 13 (CHSTD_HUMAN)","3","CHST13",0.00,"false",0.00,0.00,0.00,3066.00,38.90,0.00,,,,,"false"
13449.00,"SINGLE PROTEIN","Q8IXH8",""," Cadherin-like protein 26 (CAD26_HUMAN)","20","CDH26",0.00,"false",0.00,0.00,0.00,3066.00,95.22,0.00,,,,,"false"
13450.00,"SINGLE PROTEIN","Q969G9",""," Protein naked cuticle homolog 1 (NKD1_HUMAN)","16","NKD1",0.00,"false",0.00,0.00,0.00,3066.00,52.25,0.00,,,,,"false"
13451.00,"SINGLE PROTEIN","Q8NF50",""," Dedicator of cytokinesis protein 8 (DOCK8_HUMAN)","9","DOCK8",0.00,"false",0.00,0.00,0.00,3066.00,238.38,0.00,,,,,"false"
13452.00,"SINGLE PROTEIN","Q8NET1",""," Beta-defensin 108B (D108B_HUMAN)","11","DEFB108B",0.00,"false",0.00,0.00,0.00,3066.00,8.32,0.00,,,,,"false"
13453.00,"SINGLE PROTEIN","Q08477",""," Docosahexaenoic acid omega-hydroxylase CYP4F3 (CP4F3_HUMAN)","19","CYP4F3",0.00,"false",0.00,0.00,0.00,3066.00,59.81,0.00,,,,,"false"
13454.00,"SINGLE PROTEIN","Q969G5",""," Protein kinase C delta-binding protein (PRDBP_HUMAN)","11","PRKCDBP",0.00,"false",0.00,0.00,0.00,3066.00,27.68,0.00,,,,,"false"
13455.00,"SINGLE PROTEIN","Q8NET5",""," NFAT activation molecule 1 (NFAM1_HUMAN)","22","NFAM1",0.00,"false",0.00,0.00,0.00,3066.00,29.67,0.00,,,,,"false"
13456.00,"SINGLE PROTEIN","Q8NES8",""," Beta-defensin 124 (DB124_HUMAN)","20","DEFB124",0.00,"false",0.00,0.00,0.00,3066.00,8.05,0.00,,,,,"false"
13457.00,"SINGLE PROTEIN","B4DU55",""," Zinc finger protein 879 (ZN879_HUMAN)","5","ZNF879",0.00,"false",0.00,0.00,0.00,3066.00,64.54,0.00,,,,,"false"
13458.00,"SINGLE PROTEIN","Q08462",""," Adenylate cyclase type 2 (ADCY2_HUMAN)","5","ADCY2",0.00,"false",0.00,0.00,0.00,3066.00,123.52,0.00,,,,,"false"
13459.00,"SINGLE PROTEIN","Q969F0",""," Fetal and adult testis-expressed transcript protein (FATE1_HUMAN)","X","FATE1",0.00,"false",0.00,0.00,0.00,3066.00,20.70,0.00,,,,,"false"
13460.00,"SINGLE PROTEIN","P50750",""," Cyclin-dependent kinase 9 (CDK9_HUMAN)","9","CDK9",0.00,"false",0.00,0.00,0.00,3066.00,42.75,0.00,,,,,"false"
13461.00,"SINGLE PROTEIN","Q969F8",""," KiSS-1 receptor (KISSR_HUMAN)","19","KISS1R",0.00,"false",0.00,0.00,0.00,3066.00,42.56,0.00,,,,,"false"
13462.00,"RELATED PROTEINS","P08754","P63096"," Guanine nucleotide-binding protein G(k) subunit alpha (GNAI3_HUMAN)","1","GNAI3",0.00,"false",0.00,0.00,0.00,3066.00,40.51,0.00,,,,,"false"
13463.00,"SINGLE PROTEIN","Q8IXF0",""," Neuronal PAS domain-containing protein 3 (NPAS3_HUMAN)","14","NPAS3",0.00,"false",0.00,0.00,0.00,3066.00,100.74,0.00,,,,,"false"
13464.00,"SINGLE PROTEIN","Q8NF37",""," Lysophosphatidylcholine acyltransferase 1 (PCAT1_HUMAN)","5","LPCAT1",0.00,"false",0.00,0.00,0.00,3066.00,59.11,0.00,,,,,"false"
13465.00,"SINGLE PROTEIN","Q8IXF9",""," Aquaporin-12A (AQ12A_HUMAN)","2","AQP12A",0.00,"false",0.00,0.00,0.00,3066.00,31.45,0.00,,,,,"false"
13466.00,"SINGLE PROTEIN","P49798",""," Regulator of G-protein signaling 4 (RGS4_HUMAN)","1","RGS4",0.00,"false",0.00,0.00,0.00,3066.00,23.24,0.00,,,,,"false"
13467.00,"SINGLE PROTEIN","P49795",""," Regulator of G-protein signaling 19 (RGS19_HUMAN)","20","RGS19",0.00,"false",0.00,0.00,0.00,3066.00,24.62,0.00,,,,,"false"
13468.00,"SINGLE PROTEIN","Q6ZUF6",""," Putative uncharacterized protein encoded by LINC00336 (NC336_HUMAN)","6","LINC00336",0.00,"false",0.00,0.00,0.00,3066.00,20.89,0.00,,,,,"false"
13469.00,"SINGLE PROTEIN","Q969E3",""," Urocortin-3 (UCN3_HUMAN)","10","UCN3",0.00,"false",0.00,0.00,0.00,3066.00,17.95,0.00,,,,,"false"
13470.00,"SINGLE PROTEIN","Q8NER1",""," Transient receptor potential cation channel subfamily V member 1 (TRPV1_HUMAN)","17","TRPV1",0.00,"false",0.00,0.00,0.00,3066.00,94.90,0.00,,,,,"false"
13471.00,"SINGLE PROTEIN","Q8NEQ6",""," Uncharacterized protein C1orf64 (CA064_HUMAN)","1","C1ORF64",0.00,"false",0.00,0.00,0.00,3066.00,17.65,0.00,,,,,"false"
13472.00,"RELATED PROTEINS","P48730","P49674"," Casein kinase I isoform delta (KC1D_HUMAN)","17","CSNK1D",0.00,"false",0.00,0.00,0.00,3066.00,47.30,0.00,,,,,"false"
13473.00,"SINGLE PROTEIN","Q5W0B8","","Putative uncharacterized protein encoded by LINC00619 (CJ136_HUMAN)","10","LINC00619",0.00,"false",0.00,0.00,0.00,3066.00,6.77,0.00,,,,,"false"
13474.00,"SINGLE PROTEIN","P49789",""," Bis(5'-adenosyl)-triphosphatase (FHIT_HUMAN)","3","FHIT",0.00,"false",0.00,0.00,0.00,3066.00,16.85,0.00,,,,,"false"
