Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Site
Q5TC84	OGRL1_HUMAN	reviewed	Opioid growth factor receptor-like protein 1	OGFRL1	Homo sapiens (Human)	451	
P28566	5HT1E_HUMAN	reviewed	5-hydroxytryptamine receptor 1E (5-HT-1E) (5-HT1E) (S31) (Serotonin receptor 1E)	HTR1E	Homo sapiens (Human)	365	
P59542	T2R19_HUMAN	reviewed	Taste receptor type 2 member 19 (Taste receptor type 2 member 23) (Taste receptor type 2 member 48) (T2R48)	TAS2R19 TAS2R23 TAS2R48	Homo sapiens (Human)	299	
Q9NZQ3	SPN90_HUMAN	reviewed	NCK-interacting protein with SH3 domain (54 kDa VacA-interacting protein) (54 kDa vimentin-interacting protein) (VIP54) (90 kDa SH3 protein interacting with Nck) (AF3p21) (Dia-interacting protein 1) (DIP-1) (Diaphanous protein-interacting protein) (SH3 adapter protein SPIN90) (WASP-interacting SH3-domain protein) (WISH) (Wiskott-Aldrich syndrome protein-interacting protein)	NCKIPSD AF3P21 SPIN90	Homo sapiens (Human)	722	SITE 57..58;  /note="Breakpoint for translocation to form KMT2A/MLL1-AF3P21 oncogene"
Q96L42	KCNH8_HUMAN	reviewed	Potassium voltage-gated channel subfamily H member 8 (ELK1) (hElk1) (Ether-a-go-go-like potassium channel 3) (ELK channel 3) (ELK3) (Voltage-gated potassium channel subunit Kv12.1)	KCNH8	Homo sapiens (Human)	1107	
Q92913	FGF13_HUMAN	reviewed	Fibroblast growth factor 13 (FGF-13) (Fibroblast growth factor homologous factor 2) (FHF-2)	FGF13 FHF2	Homo sapiens (Human)	245	
Q5VUG0	SMBT2_HUMAN	reviewed	Scm-like with four MBT domains protein 2 (Scm-like with 4 MBT domains protein 2)	SFMBT2 KIAA1617	Homo sapiens (Human)	894	
Q96GR2	ACBG1_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase ACSBG1 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 1) (hBG1) (hsBG) (hsBGM) (Lipidosin)	ACSBG1 BGM KIAA0631 LPD	Homo sapiens (Human)	724	
O43854	EDIL3_HUMAN	reviewed	EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)	EDIL3 DEL1	Homo sapiens (Human)	480	
P34981	TRFR_HUMAN	reviewed	Thyrotropin-releasing hormone receptor (TRH-R) (Thyroliberin receptor)	TRHR	Homo sapiens (Human)	398	
O43813	LANC1_HUMAN	reviewed	Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1)	LANCL1 GPR69A	Homo sapiens (Human)	399	
P48547	KCNC1_HUMAN	reviewed	Potassium voltage-gated channel subfamily C member 1 (NGK2) (Voltage-gated potassium channel subunit Kv3.1) (Voltage-gated potassium channel subunit Kv4)	KCNC1	Homo sapiens (Human)	511	
Q9NYW5	TA2R4_HUMAN	reviewed	Taste receptor type 2 member 4 (T2R4)	TAS2R4	Homo sapiens (Human)	299	
Q99946	PRRT1_HUMAN	reviewed	Proline-rich transmembrane protein 1 (Dispanin subfamily D member 1) (DSPD1) (Synapse differentiation-induced protein 4) (SynDIG4)	PRRT1 C6orf31 NG5	Homo sapiens (Human)	306	
Q96NS1	YPEL4_HUMAN	reviewed	Protein yippee-like 4	YPEL4	Homo sapiens (Human)	127	
Q7L0Q8	RHOU_HUMAN	reviewed	Rho-related GTP-binding protein RhoU (CDC42-like GTPase 1) (GTP-binding protein-like 1) (Rho GTPase-like protein ARHU) (Ryu GTPase) (Wnt-1 responsive Cdc42 homolog 1) (WRCH-1)	RHOU ARHU CDC42L1 G28K WRCH1 SB128	Homo sapiens (Human)	258	
Q92185	SIA8A_HUMAN	reviewed	Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase (EC 2.4.99.8) (Alpha-2,8-sialyltransferase 8A) (Ganglioside GD3 synthase) (Ganglioside GT3 synthase) (Sialyltransferase 8A) (SIAT8-A) (Sialyltransferase St8Sia I) (ST8SiaI)	ST8SIA1 SIAT8 SIAT8A	Homo sapiens (Human)	356	
Q99457	NP1L3_HUMAN	reviewed	Nucleosome assembly protein 1-like 3	NAP1L3 BNAP	Homo sapiens (Human)	506	
B2RXF0	T229A_HUMAN	reviewed	Transmembrane protein 229A	TMEM229A	Homo sapiens (Human)	380	
Q14576	ELAV3_HUMAN	reviewed	ELAV-like protein 3 (Hu-antigen C) (HuC) (Paraneoplastic cerebellar degeneration-associated antigen) (Paraneoplastic limbic encephalitis antigen 21)	ELAVL3 HUC PLE21	Homo sapiens (Human)	367	
Q5M8T2	S35D3_HUMAN	reviewed	Solute carrier family 35 member D3 (Fringe connection-like protein 1)	SLC35D3 FRCL1	Homo sapiens (Human)	416	
Q6TCH4	PAQR6_HUMAN	reviewed	Membrane progestin receptor delta (mPR delta) (Membrane progesterone P4 receptor delta) (Membrane progesterone receptor delta) (Progesterone and adipoQ receptor family member 6) (Progestin and adipoQ receptor family member 6)	PAQR6	Homo sapiens (Human)	344	
P57739	CLD2_HUMAN	reviewed	Claudin-2 (SP82)	CLDN2 PSEC0059 SP82 UNQ705/PRO1356	Homo sapiens (Human)	230	
Q8IZI9	IFNL3_HUMAN	reviewed	Interferon lambda-3 (IFN-lambda-3) (Cytokine Zcyto22) (Interleukin-28B) (IL-28B) (Interleukin-28C) (IL-28C)	IFNL3 IL28B IL28C ZCYTO22	Homo sapiens (Human)	196	
P22694	KAPCB_HUMAN	reviewed	cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)	PRKACB	Homo sapiens (Human)	351	
Q8IWU9	TPH2_HUMAN	reviewed	Tryptophan 5-hydroxylase 2 (EC 1.14.16.4) (Neuronal tryptophan hydroxylase) (Tryptophan 5-monooxygenase 2)	TPH2 NTPH	Homo sapiens (Human)	490	
Q9BRU2	TCAL7_HUMAN	reviewed	Transcription elongation factor A protein-like 7 (TCEA-like protein 7) (Transcription elongation factor S-II protein-like 7)	TCEAL7	Homo sapiens (Human)	100	
Q9UHG2	PCS1N_HUMAN	reviewed	ProSAAS (Proprotein convertase subtilisin/kexin type 1 inhibitor) (Proprotein convertase 1 inhibitor) (pro-SAAS) [Cleaved into: KEP; Big SAAS (b-SAAS); Little SAAS (l-SAAS) (N-proSAAS); Big PEN-LEN (b-PEN-LEN) (SAAS CT(1-49)); PEN; Little LEN (l-LEN); Big LEN (b-LEN) (SAAS CT(25-40))]	PCSK1N	Homo sapiens (Human)	260	
B2RUY7	VWC2L_HUMAN	reviewed	von Willebrand factor C domain-containing protein 2-like (Brorin-like)	VWC2L	Homo sapiens (Human)	222	
Q16099	GRIK4_HUMAN	reviewed	Glutamate receptor ionotropic, kainate 4 (GluK4) (Excitatory amino acid receptor 1) (EAA1) (Glutamate receptor KA-1) (KA1)	GRIK4 GRIK	Homo sapiens (Human)	956	
Q8N3T1	GLT15_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase 15 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 2) (GalNAc-T-like protein 2) (pp-GaNTase-like protein 2) (Polypeptide N-acetylgalactosaminyltransferase-like protein 2) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2)	GALNT15 GALNTL2 UNQ770/PRO1564	Homo sapiens (Human)	639	
Q8NH16	OR2L2_HUMAN	reviewed	Olfactory receptor 2L2 (HTPCRH07) (Olfactory receptor 2L12) (Olfactory receptor 2L4)	OR2L2 OR2L12 OR2L4P	Homo sapiens (Human)	312	
Q9NQM4	DAAF6_HUMAN	reviewed	Dynein axonemal assembly factor 6 (PIH1 domain-containing protein 3) (Sarcoma antigen NY-SAR-97)	DNAAF6 CXorf41 PIH1D3	Homo sapiens (Human)	214	
Q9NZU1	FLRT1_HUMAN	reviewed	Leucine-rich repeat transmembrane protein FLRT1 (Fibronectin-like domain-containing leucine-rich transmembrane protein 1)	FLRT1 UNQ752/PRO1483	Homo sapiens (Human)	646	
Q9P2E7	PCD10_HUMAN	reviewed	Protocadherin-10	PCDH10 KIAA1400	Homo sapiens (Human)	1040	
Q4J6C6	PPCEL_HUMAN	reviewed	Prolyl endopeptidase-like (EC 3.4.21.-) (Prolylendopeptidase-like)	PREPL KIAA0436	Homo sapiens (Human)	727	
Q9Y4C5	CHST2_HUMAN	reviewed	Carbohydrate sulfotransferase 2 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 2) (GST-2) (N-acetylglucosamine 6-O-sulfotransferase 1) (GlcNAc6ST-1) (Gn6ST-1)	CHST2 GN6ST	Homo sapiens (Human)	530	SITE 152;  /note="Not glycosylated";  /evidence="ECO:0000269|PubMed:19571171"
Q9UGM1	ACHA9_HUMAN	reviewed	Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9)	CHRNA9 NACHRA9	Homo sapiens (Human)	479	SITE 146;  /note="Key residue important for potent inhibition of the CHRNA9-CHRNA10 receptor by the alpha-conotoxin RgIA (AC P0C1D0)";  /evidence="ECO:0000250|UniProtKB:P43144"
P41219	PERI_HUMAN	reviewed	Peripherin (Neurofilament 4)	PRPH NEF4 PRPH1	Homo sapiens (Human)	470	
P13591	NCAM1_HUMAN	reviewed	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)	NCAM1 NCAM	Homo sapiens (Human)	858	
P0C221	CC175_HUMAN	reviewed	Coiled-coil domain-containing protein 175	CCDC175 C14orf38	Homo sapiens (Human)	793	
Q96KK3	KCNS1_HUMAN	reviewed	Potassium voltage-gated channel subfamily S member 1 (Delayed-rectifier K(+) channel alpha subunit 1) (Voltage-gated potassium channel subunit Kv9.1)	KCNS1	Homo sapiens (Human)	526	
O00230	CORT_HUMAN	reviewed	Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17]	CORT UNQ307/PRO350	Homo sapiens (Human)	105	
O43761	SNG3_HUMAN	reviewed	Synaptogyrin-3	SYNGR3	Homo sapiens (Human)	229	
P49758	RGS6_HUMAN	reviewed	Regulator of G-protein signaling 6 (RGS6) (S914)	RGS6	Homo sapiens (Human)	472	
A6NGB9	WIPF3_HUMAN	reviewed	WAS/WASL-interacting protein family member 3 (Corticosteroids and regional expression protein 16 homolog)	WIPF3 CR16	Homo sapiens (Human)	483	
Q8IU99	CAHM1_HUMAN	reviewed	Calcium homeostasis modulator protein 1 (Protein FAM26C)	CALHM1 FAM26C	Homo sapiens (Human)	346	SITE 74;  /note="Not glycosylated"
Q92730	RND1_HUMAN	reviewed	Rho-related GTP-binding protein Rho6 (Rho family GTPase 1) (Rnd1)	RND1 RHO6	Homo sapiens (Human)	232	
P0C6S8	LIGO3_HUMAN	reviewed	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3 (Leucine-rich repeat neuronal protein 2) (Leucine-rich repeat neuronal protein 6B)	LINGO3 LERN2 LRRN6B	Homo sapiens (Human)	592	
Q99962	SH3G2_HUMAN	reviewed	Endophilin-A1 (EEN-B1) (Endophilin-1) (SH3 domain protein 2A) (SH3 domain-containing GRB2-like protein 2)	SH3GL2 CNSA2 SH3D2A	Homo sapiens (Human)	352	
Q96NX5	KCC1G_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	CAMK1G CLICK3 VWS1	Homo sapiens (Human)	476	
Q9NTI2	AT8A2_HUMAN	reviewed	Phospholipid-transporting ATPase IB (EC 7.6.2.1) (ATPase class I type 8A member 2) (ML-1) (P4-ATPase flippase complex alpha subunit ATP8A2)	ATP8A2 ATPIB	Homo sapiens (Human)	1188	SITE 371;  /note="Involved in the recognition of the lipid substrate on the exoplasmic side";  /evidence="ECO:0000250|UniProtKB:C7EXK4"; SITE 376;  /note="Involved in the release of the transported lipid into the cytosolic leaflet";  /evidence="ECO:0000250|UniProtKB:C7EXK4"
O43820	HYAL3_HUMAN	reviewed	Hyaluronidase-3 (Hyal-3) (EC 3.2.1.35) (Hyaluronoglucosaminidase-3) (Lung carcinoma protein 3) (LuCa-3)	HYAL3 LUCA3	Homo sapiens (Human)	417	
Q9Y586	MB212_HUMAN	reviewed	Protein mab-21-like 2	MAB21L2	Homo sapiens (Human)	359	
Q15319	PO4F3_HUMAN	reviewed	POU domain, class 4, transcription factor 3 (Brain-specific homeobox/POU domain protein 3C) (Brain-3C) (Brn-3C)	POU4F3 BRN3C	Homo sapiens (Human)	338	
Q96AQ9	F131C_HUMAN	reviewed	Protein FAM131C	FAM131C C1orf117	Homo sapiens (Human)	280	
O75899	GABR2_HUMAN	reviewed	Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20)	GABBR2 GPR51 GPRC3B	Homo sapiens (Human)	941	
Q9UF11	PKHB1_HUMAN	reviewed	Pleckstrin homology domain-containing family B member 1 (PH domain-containing family B member 1) (Evectin-1) (PH domain-containing protein in retina 1) (PHRET1) (Pleckstrin homology domain retinal protein 1)	PLEKHB1 EVT1 KPL1 PHR1 PHRET1	Homo sapiens (Human)	243	
Q5VVW2	GARL3_HUMAN	reviewed	GTPase-activating Rap/Ran-GAP domain-like protein 3	GARNL3	Homo sapiens (Human)	1013	
Q8N1A0	KT222_HUMAN	reviewed	Keratin-like protein KRT222 (Keratin-222) (Keratin-222 pseudogene)	KRT222 KA21 KRT222P	Homo sapiens (Human)	295	
Q5JU85	IQEC2_HUMAN	reviewed	IQ motif and SEC7 domain-containing protein 2	IQSEC2 KIAA0522	Homo sapiens (Human)	1488	
P56693	SOX10_HUMAN	reviewed	Transcription factor SOX-10	SOX10	Homo sapiens (Human)	466	
Q96Q42	ALS2_HUMAN	reviewed	Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein)	ALS2 ALS2CR6 KIAA1563	Homo sapiens (Human)	1657	
Q8WWI5	CTL1_HUMAN	reviewed	Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92)	SLC44A1 CD92 CDW92 CTL1	Homo sapiens (Human)	657	
Q96PR1	KCNC2_HUMAN	reviewed	Potassium voltage-gated channel subfamily C member 2 (Shaw-like potassium channel) (Voltage-gated potassium channel Kv3.2)	KCNC2	Homo sapiens (Human)	638	
Q9HAT1	LMA1L_HUMAN	reviewed	Protein ERGIC-53-like (ERGIC53-like protein) (Lectin mannose-binding 1-like) (LMAN1-like protein)	LMAN1L ERGL UNQ2784/PRO7174	Homo sapiens (Human)	526	
O75382	TRIM3_HUMAN	reviewed	Tripartite motif-containing protein 3 (Brain-expressed RING finger protein) (RING finger protein 22) (RING finger protein 97)	TRIM3 BERP RNF22 RNF97	Homo sapiens (Human)	744	
Q9HBT6	CAD20_HUMAN	reviewed	Cadherin-20	CDH20 CDH7L3	Homo sapiens (Human)	801	
Q9H3Y0	CRSPL_HUMAN	reviewed	Peptidase inhibitor R3HDML (Cysteine-rich secretory protein R3HDML)	R3HDML	Homo sapiens (Human)	253	
P10911	MCF2_HUMAN	reviewed	Proto-oncogene DBL (Proto-oncogene MCF-2) [Cleaved into: MCF2-transforming protein; DBL-transforming protein]	MCF2 DBL	Homo sapiens (Human)	925	
Q96S42	NODAL_HUMAN	reviewed	Nodal homolog	NODAL	Homo sapiens (Human)	347	
P16619	CL3L1_HUMAN	reviewed	C-C motif chemokine 3-like 1 (G0/G1 switch regulatory protein 19-2) (LD78-beta(1-70)) (PAT 464.2) (Small-inducible cytokine A3-like 1) (Tonsillar lymphocyte LD78 beta protein) [Cleaved into: LD78-beta(3-70); LD78-beta(5-70)]	CCL3L1 D17S1718 G0S19-2 SCYA3L1; CCL3L3	Homo sapiens (Human)	93	SITE 25..26;  /note="Cleavage; by DPP4";  /evidence="ECO:0000305"
Q9BQI7	PSD2_HUMAN	reviewed	PH and SEC7 domain-containing protein 2 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 C) (Exchange factor for ARF6 C) (Pleckstrin homology and SEC7 domain-containing protein 2)	PSD2 EFA6C	Homo sapiens (Human)	771	
P59025	RTP1_HUMAN	reviewed	Receptor-transporting protein 1 (3CxxC-type zinc finger protein 1)	RTP1 Z3CXXC1	Homo sapiens (Human)	263	
P17677	NEUM_HUMAN	reviewed	Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43) (Neural phosphoprotein B-50) (pp46)	GAP43	Homo sapiens (Human)	238	
Q96B86	RGMA_HUMAN	reviewed	Repulsive guidance molecule A (RGM domain family member A)	RGMA RGM	Homo sapiens (Human)	450	SITE 168..169;  /note="Cleavage; by autolysis";  /evidence="ECO:0000250"
Q14123	PDE1C_HUMAN	reviewed	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (3',5'-cyclic-AMP phosphodiesterase) (EC 3.1.4.-) (3',5'-cyclic-GMP phosphodiesterase) (EC 3.1.4.35) (Hcam3)	PDE1C	Homo sapiens (Human)	709	
Q86XE0	SNX32_HUMAN	reviewed	Sorting nexin-32 (Sorting nexin-6B)	SNX32 SNX6B	Homo sapiens (Human)	403	
Q75VX8	GARE2_HUMAN	reviewed	GRB2-associated and regulator of MAPK protein 2 (GRB2-associated and regulator of MAPK1-like)	GAREM2 FAM59B GAREML KIAA2038 HRIHFB2063	Homo sapiens (Human)	874	
Q14183	DOC2A_HUMAN	reviewed	Double C2-like domain-containing protein alpha (Doc2) (Doc2-alpha)	DOC2A	Homo sapiens (Human)	400	
Q9UHC3	ASIC3_HUMAN	reviewed	Acid-sensing ion channel 3 (ASIC3) (hASIC3) (Amiloride-sensitive cation channel 3) (Neuronal amiloride-sensitive cation channel 3) (Testis sodium channel 1) (hTNaC1)	ASIC3 ACCN3 SLNAC1 TNAC1	Homo sapiens (Human)	531	SITE 26;  /note="Potassium ion selectivity and permeability";  /evidence="ECO:0000250"
Q9UQ03	COR2B_HUMAN	reviewed	Coronin-2B (Coronin-like protein C) (Clipin-C) (Protein FC96)	CORO2B KIAA0925	Homo sapiens (Human)	480	
P13637	AT1A3_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-3 (Na(+)/K(+) ATPase alpha-3 subunit) (EC 7.2.2.13) (Na(+)/K(+) ATPase alpha(III) subunit) (Sodium pump subunit alpha-3)	ATP1A3	Homo sapiens (Human)	1013	
Q8N812	CL076_HUMAN	reviewed	Uncharacterized protein C12orf76	C12orf76	Homo sapiens (Human)	135	
Q96GL9	F163A_HUMAN	reviewed	Protein FAM163A (Cebelin) (Neuroblastoma-derived secretory protein)	FAM163A C1orf76 NDSP	Homo sapiens (Human)	167	
Q8N2G4	LYPD1_HUMAN	reviewed	Ly6/PLAUR domain-containing protein 1 (Putative HeLa tumor suppressor) (PHTS)	LYPD1 LYPDC1 PSEC0181 UNQ3079/PRO9917	Homo sapiens (Human)	141	
P58743	S26A5_HUMAN	reviewed	Prestin (Solute carrier family 26 member 5)	SLC26A5 PRES	Homo sapiens (Human)	744	
Q9UBJ2	ABCD2_HUMAN	reviewed	ATP-binding cassette sub-family D member 2 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy-like 1) (Adrenoleukodystrophy-related protein) (hALDR)	ABCD2 ALD1 ALDL1 ALDR ALDRP	Homo sapiens (Human)	740	
Q9Y2T3	GUAD_HUMAN	reviewed	Guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH) (p51-nedasin)	GDA KIAA1258	Homo sapiens (Human)	454	
P50458	LHX2_HUMAN	reviewed	LIM/homeobox protein Lhx2 (Homeobox protein LH-2) (LIM homeobox protein 2)	LHX2 LH2	Homo sapiens (Human)	406	
Q96HZ4	HES6_HUMAN	reviewed	Transcription cofactor HES-6 (C-HAIRY1) (Class B basic helix-loop-helix protein 41) (bHLHb41) (Hairy and enhancer of split 6)	HES6 BHLHB41	Homo sapiens (Human)	224	
Q9C026	TRIM9_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM9 (EC 2.3.2.27) (RING finger protein 91) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif-containing protein 9)	TRIM9 KIAA0282 RNF91	Homo sapiens (Human)	710	
Q99853	FOXB1_HUMAN	reviewed	Forkhead box protein B1 (Transcription factor FKH-5)	FOXB1 FKH5	Homo sapiens (Human)	325	
O43711	TLX3_HUMAN	reviewed	T-cell leukemia homeobox protein 3 (Homeobox protein Hox-11L2)	TLX3 HOX11L2	Homo sapiens (Human)	291	
Q9UH77	KLHL3_HUMAN	reviewed	Kelch-like protein 3	KLHL3 KIAA1129	Homo sapiens (Human)	587	
B4DS77	SHSA9_HUMAN	reviewed	Protein shisa-9	SHISA9	Homo sapiens (Human)	424	
O14782	KIF3C_HUMAN	reviewed	Kinesin-like protein KIF3C	KIF3C	Homo sapiens (Human)	793	
Q9H4F8	SMOC1_HUMAN	reviewed	SPARC-related modular calcium-binding protein 1 (Secreted modular calcium-binding protein 1) (SMOC-1)	SMOC1	Homo sapiens (Human)	434	
O43300	LRRT2_HUMAN	reviewed	Leucine-rich repeat transmembrane neuronal protein 2 (Leucine-rich repeat neuronal 2 protein)	LRRTM2 KIAA0416 LRRN2	Homo sapiens (Human)	516	
Q96K83	ZN521_HUMAN	reviewed	Zinc finger protein 521 (Early hematopoietic zinc finger protein) (LYST-interacting protein 3)	ZNF521 EHZF LIP3	Homo sapiens (Human)	1311	SITE 72..73;  /note="Breakpoint for translocation to form PAX5-ZNF521"
O43304	S14L5_HUMAN	reviewed	SEC14-like protein 5	SEC14L5 KIAA0420	Homo sapiens (Human)	696	
A0PJY2	FEZF1_HUMAN	reviewed	Fez family zinc finger protein 1 (Zinc finger protein 312B)	FEZF1 FEZ ZNF312B	Homo sapiens (Human)	475	
O14490	DLGP1_HUMAN	reviewed	Disks large-associated protein 1 (DAP-1) (Guanylate kinase-associated protein) (hGKAP) (PSD-95/SAP90-binding protein 1) (SAP90/PSD-95-associated protein 1) (SAPAP1)	DLGAP1 DAP1 GKAP	Homo sapiens (Human)	977	
Q86UN6	AKA28_HUMAN	reviewed	A-kinase anchor protein 14 (AKAP-14) (A-kinase anchor protein 28 kDa) (AKAP 28) (Protein kinase A-anchoring protein 14) (PRKA14)	AKAP14 AKAP28	Homo sapiens (Human)	197	
P58872	RHBL3_HUMAN	reviewed	Rhomboid-related protein 3 (EC 3.4.21.105) (Ventrhoid transmembrane protein)	RHBDL3 RHBDL4 VRHO	Homo sapiens (Human)	404	
Q9UHL0	DDX25_HUMAN	reviewed	ATP-dependent RNA helicase DDX25 (EC 3.6.4.13) (DEAD box protein 25) (Gonadotropin-regulated testicular RNA helicase)	DDX25 GRTH	Homo sapiens (Human)	483	
P61328	FGF12_HUMAN	reviewed	Fibroblast growth factor 12 (FGF-12) (Fibroblast growth factor homologous factor 1) (FHF-1) (Myocyte-activating factor)	FGF12 FGF12B FHF1	Homo sapiens (Human)	243	
O95948	ONEC2_HUMAN	reviewed	One cut domain family member 2 (Hepatocyte nuclear factor 6-beta) (HNF-6-beta) (One cut homeobox 2) (Transcription factor ONECUT-2) (OC-2)	ONECUT2 HNF6B	Homo sapiens (Human)	504	
O60939	SCN2B_HUMAN	reviewed	Sodium channel subunit beta-2	SCN2B UNQ326/PRO386	Homo sapiens (Human)	215	SITE 56;  /note="Binds SCN2A";  /evidence="ECO:0000305|PubMed:30765605"; SITE 135;  /note="Binds SCN2A";  /evidence="ECO:0000305|PubMed:30765605"
Q8IVF6	AN18A_HUMAN	reviewed	Ankyrin repeat domain-containing protein 18A	ANKRD18A KIAA2015	Homo sapiens (Human)	992	
Q14050	CO9A3_HUMAN	reviewed	Collagen alpha-3(IX) chain	COL9A3	Homo sapiens (Human)	684	
P18509	PACA_HUMAN	reviewed	Pituitary adenylate cyclase-activating polypeptide (PACAP) [Cleaved into: PACAP-related peptide (PRP-48); Pituitary adenylate cyclase-activating polypeptide 27 (PACAP-27) (PACAP27); Pituitary adenylate cyclase-activating polypeptide 38 (PACAP-38) (PACAP38)]	ADCYAP1	Homo sapiens (Human)	176	
O60447	EVI5_HUMAN	reviewed	Ecotropic viral integration site 5 protein homolog (EVI-5) (Neuroblastoma stage 4S gene protein)	EVI5 NB4S	Homo sapiens (Human)	810	SITE 594;  /note="Breakpoint for translocation to form EVI5-TRNG10 fusion protein"
O75038	PLCH2_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	PLCH2 KIAA0450 PLCL4	Homo sapiens (Human)	1416	
Q17RD7	SYT16_HUMAN	reviewed	Synaptotagmin-16 (Chr14Syt) (Synaptotagmin 14-like protein) (Synaptotagmin XIV-related protein)	SYT16 STREP14 SYT14L SYT14R	Homo sapiens (Human)	645	
F8WFD2	NPIA3_HUMAN	reviewed	Nuclear pore complex-interacting protein family member A3	NPIPA3	Homo sapiens (Human)	350	
Q9Y6X6	MYO16_HUMAN	reviewed	Unconventional myosin-XVI (Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 3) (Unconventional myosin-16)	MYO16 KIAA0865 MYO16B NYAP3	Homo sapiens (Human)	1858	
Q9UHC6	CNTP2_HUMAN	reviewed	Contactin-associated protein-like 2 (Cell recognition molecule Caspr2)	CNTNAP2 CASPR2 KIAA0868	Homo sapiens (Human)	1331	
Q8WZ73	RFFL_HUMAN	reviewed	E3 ubiquitin-protein ligase rififylin (EC 2.3.2.27) (Caspase regulator CARP2) (Caspases-8 and -10-associated RING finger protein 2) (CARP-2) (FYVE-RING finger protein Sakura) (Fring) (RING finger and FYVE-like domain-containing protein 1) (RING finger protein 189) (RING finger protein 34-like) (RING-type E3 ubiquitin transferase rififylin)	RFFL RNF189 RNF34L	Homo sapiens (Human)	363	
Q3SYB3	FX4L6_HUMAN	reviewed	Forkhead box protein D4-like 6 (FOXD4-like 6)	FOXD4L6	Homo sapiens (Human)	417	
Q6ZVX9	PAQR9_HUMAN	reviewed	Membrane progestin receptor epsilon (mPR epsilon) (Membrane progesterone P4 receptor epsilon) (Membrane progesterone receptor epsilon) (Progesterone and adipoQ receptor family member 9) (Progestin and adipoQ receptor family member 9) (Progestin and adipoQ receptor family member IX)	PAQR9	Homo sapiens (Human)	377	
Q8TF17	S3TC2_HUMAN	reviewed	SH3 domain and tetratricopeptide repeat-containing protein 2	SH3TC2 KIAA1985 PP12494	Homo sapiens (Human)	1288	
Q9UKU0	ACSL6_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 6) (LACS 6)	ACSL6 ACS2 FACL6 KIAA0837 LACS5	Homo sapiens (Human)	697	
Q8N9L1	ZIC4_HUMAN	reviewed	Zinc finger protein ZIC 4 (Zinc finger protein of the cerebellum 4)	ZIC4	Homo sapiens (Human)	334	
O60258	FGF17_HUMAN	reviewed	Fibroblast growth factor 17 (FGF-17)	FGF17 UNQ161/PRO187	Homo sapiens (Human)	216	
